song,performer,chart_position,previous_position,peak,weeks_on_chart,hitTF,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Ruff Ryders' Anthem,DMX,16,0,16,5,1,1BKT2I9x4RGKaKqW4up34s,0.88,0.577,10.0,-8.093,0.0,0.302,0.0564,1.02e-06,0.201,0.74,90.991,214440.0,4.0
Run It Up,Lil Tjay Featuring Offset & Moneybagg Yo,93,79,50,3,1,1dg3qy5DjoJodawfOCgrTP,0.88,0.575,6.0,-6.091,1.0,0.163,0.415,0.0,0.109,0.671,120.031,232048.0,4.0
Run Rudolph Run,Chuck Berry,29,10,10,9,1,2pnPe4pJtq7689i5ydzvJJ,0.681,0.715,7.0,-10.609,0.0,0.0912,0.812,9.43e-06,0.0777,0.957,152.132,165733.0,4.0
Sand In My Boots,Morgan Wallen,72,68,32,9,1,0uRrG2jRR5tuifsYIJHEao,0.403,0.537,3.0,-6.628,1.0,0.031,0.59,0.0,0.112,0.414,69.877,202133.0,4.0
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,51,48,1,31,1,1xQ6trAsedVPCdbtDAmk0c,0.767,0.481,0.0,-8.52,0.0,0.0803,0.234,0.0,0.269,0.761,150.076,171375.0,4.0
Save Your Tears,The Weeknd & Ariana Grande,4,8,4,9,1,5QO79kh1waicV47BqGRL3g,0.68,0.826,0.0,-5.487,1.0,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627.0,4.0
Settling Down,Miranda Lambert,49,56,49,9,1,53bZYxVbCYm6w1Gx8U64bz,0.643,0.756,6.0,-5.8,0.0,0.0305,0.0215,0.000268,0.101,0.934,90.001,197453.0,4.0
Shock Da World,Rod Wave,96,0,96,1,1,1Thr5Yh8gHXeCSOpi2icWv,0.693,0.53,1.0,-10.27,1.0,0.14,0.0213,2.18e-06,0.109,0.535,81.963,204171.0,4.0
Shottas (Lala),Moneybagg Yo,72,62,35,3,1,2Ox2c1WEJDeQCHTXPE3YKM,0.925,0.463,6.0,-9.309,0.0,0.454,0.0681,0.0,0.101,0.961,133.061,122729.0,4.0
Should've Ducked,Lil Durk Featuring Pooh Shiesty,53,0,53,1,1,2tKkPDbXCDZzhpJgY338dt,0.787,0.654,11.0,-5.142,0.0,0.336,0.00897,0.0,0.309,0.487,144.906,192052.0,4.0
Shy Away,twenty one pilots,87,0,87,1,1,2z0IupRlVRlDN5r2IVqHyN,0.588,0.856,9.0,-5.242,0.0,0.0316,0.000818,0.0739,0.238,0.635,96.966,175044.0,4.0
Single Saturday Night,Cole Swindell,80,95,80,2,1,1irAliF0T8sLIOPJp6n7rU,0.623,0.79,7.0,-5.07,1.0,0.0473,0.118,0.0,0.226,0.694,81.949,187684.0,4.0
Ski,Young Thug & Gunna,51,48,18,4,1,6755DFiZ7CWe2WMdTGW5C1,0.953,0.621,8.0,-7.638,0.0,0.221,0.017,0.0,0.0398,0.883,123.016,152333.0,4.0
Skin,Sabrina Carpenter,99,89,48,3,1,03B2SfXuvDh1m9F4tqrX07,0.557,0.457,7.0,-5.372,1.0,0.0335,0.428,0.0,0.0567,0.328,105.918,177500.0,4.0
Slatty,Young Thug & Gunna Featuring Yak Gotti & Lil Duke,99,0,99,1,1,0ky8syPEVEfD7qCxMTW49X,0.814,0.531,1.0,-7.56,1.0,0.0884,0.000544,7.26e-06,0.103,0.18,130.02,290280.0,4.0
Slay3r,Playboi Carti,72,0,72,1,1,1eMNW1HQjF1dbb4GtnmpaX,0.885,0.661,4.0,-5.062,0.0,0.141,0.165,0.0,0.334,0.436,140.028,164591.0,4.0
Sneaky Links,Rod Wave,98,0,98,1,1,1y5vxuMfT7g0b06wKAqbyH,0.676,0.561,0.0,-8.947,0.0,0.069,0.471,0.0,0.0829,0.587,148.93,178792.0,4.0
So Done,The Kid LAROI,80,96,59,9,1,5psEZhQu6lukjhavJo4AbC,0.719,0.598,9.0,-6.254,1.0,0.077,0.232,0.0,0.115,0.303,142.592,126521.0,4.0
