,artist,song,uri
116,Grey,For The Night,spotify:track:4TEaJcvzB913p8iCoul3uJ
117,M83,Midnight City,spotify:track:1eyzqe2QqGZUmfcPZtrIyt
118,FINNEAS,Let's Fall in Love for the Night,spotify:track:7kQkmyoHCEqwe7QwDbkSXM
119,42 Dugg,4 Da Gang (with Roddy Ricch),spotify:track:4KIkADzoVm3A10E9qyjsQ5
120,Russell Dickerson,Love You Like I Used To,spotify:track:1D7cfiC5mxqHfTCcOiRBej
121,Harrison Steele,Love You Like I Used To,spotify:track:4jdVvEKFx5cv5p9awnN1Jn
122,Russell Dickerson,Love You Like I Used To,spotify:track:5oVEXLYT47mTPnHwTGHciX
123,Kyle McNeill,I Don't Love You Like I Used To,spotify:track:7ak1OmWq5JxsDkZVNknZd7
124,J.I the Prince of N.Y,Used To,spotify:track:55rNDUy2Q2FDwbAT9BQwAq
125,Andy Williams,Happy Holiday / The Holiday Season,spotify:track:3sDdyBHQ60Cs1opmIyRvhp
126,Pentatonix,Happy Holiday / The Holiday Season,spotify:track:5wGZ9NIHUSackLYZgidaBa
127,Andy Williams,Happy Holiday / The Holiday Season,spotify:track:1Wf14bTyb6UeKojy8ykPYm
128,Andy Williams,Happy Holidays / It's The Holiday Season - Live,spotify:track:1Ue8FxOPJ0RygPYE6J8YCR
129,Michael W. Smith,Happy Holiday / Holiday Season - Medley,spotify:track:6YzTUS5eM3YSwQJUAJVqgv
130,Judy Garland,Have Yourself A Merry Little Christmas,spotify:track:030mot3ZKR3oskfMsqDB2R
131,Sam Smith,Have Yourself A Merry Little Christmas,spotify:track:1Qi2wh8fFgDV7tl4Sj3f2K
132,Frank Sinatra,Have Yourself A Merry Little Christmas - Remastered,spotify:track:2FPfeYlrbSBR8PwCU0zaqq
133,Mila Crowell,Have Yourself a Merry Little Christmas,spotify:track:6jnVe0mrlljgBx7il7YtUJ
134,Christina Aguilera,Have Yourself a Merry Little Christmas,spotify:track:0iV9yfj1knFNOSEiuTHZwl
135,José Feliciano,Feliz Navidad,spotify:track:0oPdaY4dXtc3ZsaG17V972
136,Ahlano Canedo,Feliz Navidad,spotify:track:2r11GtWTTWFMRfNdE0gBc3
137,Why Don't We,Feliz Navidad - Recorded at Spotify Studios NYC,spotify:track:4uqRDeCgXPLQFYqA5uf5Tr
138,Tina Nisi,Feliz Navidad,spotify:track:1SkNpLBD3gWFThkQYLmtLJ
139,Jesus D'Silva,Feliz Navidad,spotify:track:1Du3glA0jYeBg2G1WJSQ7a
140,Maluma,Hawái - Remix,spotify:track:0GzuHFG4Ql6DoyxFRnIk3F
141,Maluma,Hawái,spotify:track:4uoR6qeWeuL4Qeu2qJzkuG
142,Mark Keali'i Ho'omalu,"Hawaiian Roller Coaster Ride - From ""Lilo & Stitch""/Soundtrack Version",spotify:track:7GmiJVBAzWNikX5VkNQg85
143,Maluma,Hawái,spotify:track:1yoMvmasuxZfqHEipJhRbp
144,Cub Sport,Hawaiian Party,spotify:track:13aTJyIiL95yMLU5df5jts
145,India.Arie,Favorite Time Of Year,spotify:track:3G7ginVlwmsKqX8upymtWt
146,Idina Menzel,When We're Together,spotify:track:6xsanHBuSwNCTESsldlB0o
147,Norbert Leo Butz,Christmas Is My Favorite Time of Year,spotify:track:2u0nQcbNcwoPFqhKKVxAxn
148,Vince Guaraldi Trio,Christmas Time Is Here - Instrumental,spotify:track:4DphT1rljbJjbK9WdrR1zI
149,Prince,Sometimes It Snows in April,spotify:track:1Az0fhiWi0EVS4cZ3FF20X
150,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,spotify:track:25leEEaz1gIpp7o21Fqyjo
151,Elvis Presley,Here Comes Santa Claus (Right Down Santa Claus Lane),spotify:track:7n7VsX3sv66znBwA8b5uhp
152,Snoop Dogg,"Winter Wonderland / Here Comes Santa Claus - From ""Pitch Perfect 2"" Soundtrack",spotify:track:1wMGXSIK48572zgL6RX8kF
153,Bing Crosby,Here Comes Santa Claus (Right Down Santa Claus Lane),spotify:track:0oxUZhytpftSGgBGDVlCMb
154,Glee Cast,Here Comes Santa Claus (Right Down Santa Claus Lane) (Glee Cast Version),spotify:track:79JxN987ZcVnbXBODFoS0y
155,SZA,Hit Different,spotify:track:7Bar1kLTmsRmH6FCKKMEyU
156,Trey Songz,Hit Different,spotify:track:1yZJ0GttdBhbE3coqc4em1
157,DJ Snake,A Different Way,spotify:track:6jGxFKjtQgJIJUoDDGmla4
158,Pootie P,Hit Different,spotify:track:44Y2Z3AHGEdM6LYx86t8wh
159,Doug Stone,In a Different Light,spotify:track:5O0GOy0L0zfDTPv9eIApkg
160,Kelsea Ballerini,hole in the bottle,spotify:track:2yySWxfeRN2QRZnFMnYMQl
161,Kelsea Ballerini,hole in the bottle (with Shania Twain),spotify:track:2bV4NwncWMnVvcWyU2yxwB
162,Kelsea Ballerini,hole in the bottle,spotify:track:2EzFVkHWMMWmdwW08AlCK8
163,Kelsea Ballerini,hole in the bottle - ballerini album version,spotify:track:1f6BZccfonUYohfGJIeBR1
164,Sarah Harmer,Basement Apt.,spotify:track:4l2ZwGfd6ugIZViw7dtV8K
165,BTS,Dynamite,spotify:track:4saklk6nie3yiGePpBwUoc
166,Taio Cruz,Dynamite,spotify:track:1DqdF42leyFIzqNDv9CjId
167,Gallant,Dynamite.,spotify:track:5Jg9DV3m2umJpoHXV2e6j8
168,BTS,Dynamite,spotify:track:0t1kP63rueHleOhQkYSXFY
169,Taio Cruz,Dynamite,spotify:track:2LU2FFSLynA1hCmU62SnwY
170,Lil Nas X,HOLIDAY,spotify:track:6zFMeegAMYQo0mt8rXtrli
171,Green Day,Holiday,spotify:track:4VgEM12OeaN3GyBV487Me7
172,Green Day,Holiday / Boulevard of Broken Dreams,spotify:track:0MsrWnxQZxPAcov7c74sSo
173,Little Mix,Holiday,spotify:track:5428XgSLRJfpMRN3r6YXob
174,J. Holiday,Bed,spotify:track:6TlRNJaezOdzdECnQeRuMM
175,KAROL G,BICHOTA,spotify:track:7vrJn5hDSXRmdXoR30KgF1
176,FrioLento,Bichota (Post-Punk),spotify:track:3o8tpXm59d9a8wulsGLZ3y
177,KAROL G,BICHOTA,spotify:track:63algKnbz4NMu8ihJOp0KC
178,Tabata Songs,Bichota (Tabata),spotify:track:2gkBUzKx0qkfgGqTSB22ro
179,KAROL G,BICHOTA,spotify:track:0Z15d64TT2PjbyMHRCoX2v
180,Justin Bieber,Holy,spotify:track:1Oe6epuil8qP2yWsgejN3E
181,Justin Bieber,Holy (feat. Chance The Rapper),spotify:track:5u1n1kITHCxxp8twBcZxWy
182,Justin Bieber,Holy,spotify:track:0WsOfDApVckIHtg4VeJYAI
183,JAY-Z,Holy Grail,spotify:track:37jTPJgwCCmIGMPB45jrPV
184,Justin Bieber,Holy - Acoustic,spotify:track:2Gy4PPlkNVkqtdmP6T6e1o
185,Gabby Barrett,I Hope,spotify:track:23T0OX7QOiIUFShSzbJ5Uo
186,Carly Pearce,I Hope You’re Happy Now,spotify:track:0Al3wN3keprGTSgG8NBwjr
187,XXXTENTACION,Hope,spotify:track:63Pr3MqIpk4gCq7dZMdCnG
188,Gabby Barrett,I Hope (feat. Charlie Puth),spotify:track:5cYFwgA5dHoqR3xGnlr9ew
189,Joseph Black,(i hope you) miss me,spotify:track:1Zv2jT7iZu98Feqpzhn0nd
190,Young Stoner Life,Diamonds Dancing (feat. Travis Scott),spotify:track:7uZqvqXzzYMKrexKxdcGmd
191,Sam Smith,Diamonds,spotify:track:5hvwx5i67IwnCkjl9VHkNv
192,MARINA,Bubblegum Bitch,spotify:track:0ZFBKLOZLIM16RAUb5eomN
193,Rihanna,Diamonds,spotify:track:1z9kQ14XBSN0r2v6fx4IdG
194,Jason Derulo,Diamonds,spotify:track:1mswsOzE5NN22UFcGAtD1l
195,Michael Bublé,I'll Be Home for Christmas,spotify:track:0tXPhc8LvM4dPvoRwI66XQ
196,Bing Crosby,I'll Be Home For Christmas - Single Version,spotify:track:1fjOitI0vZ41P63p1MQLcc
197,Pentatonix,I'll Be Home For Christmas,spotify:track:5P5rUzjpgTkZeQbr0CVdsZ
198,Peter Blitz,I'll Be Home For Christmas,spotify:track:5yP4hR7u50mtconpLCYNNe
199,Bing Crosby,I'll Be Home For Christmas - Single Version,spotify:track:5TZC5lW7nQDpaPkQlgtIdf
200,H.E.R.,Damage,spotify:track:0KS2h61pHQ4WmOwruD7uxD
201,Kid Cudi,Damaged,spotify:track:2n7Ao4nyESBa5ti8gcAbBt
202,Pink Floyd,Brain Damage,spotify:track:05uGBKRCuePsf43Hfm0JwX
203,Danity Kane,Damaged,spotify:track:4yHFxB8kzzeuNvoouR8N0N
204,bülow,You & Jennifer,spotify:track:0g21KZ1XJuhwexWPLpuEt1
205,Michael Bublé,It's Beginning to Look a Lot like Christmas,spotify:track:5a1iz510sv2W9Dt1MvFd5R
206,Perry Como,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),spotify:track:2pXpURmn6zC5ZYDMms6fwa
207,Bing Crosby,It's Beginning To Look A Lot Like Christmas,spotify:track:1uh1iaMqBdx4XyrXhssKGD
208,Michael Bublé,It's Beginning to Look a Lot like Christmas,spotify:track:0lLdorYw7lVrJydTINhWdI
209,Mila Crowell,It's Beginning To Look a Lot Like Christmas,spotify:track:4bLV6dcjnHejKFKUm2lShe
210,Michael Bublé,It's Beginning to Look a Lot like Christmas,spotify:track:5a1iz510sv2W9Dt1MvFd5R
211,Perry Como,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),spotify:track:2pXpURmn6zC5ZYDMms6fwa
212,Bing Crosby,It's Beginning To Look A Lot Like Christmas,spotify:track:1uh1iaMqBdx4XyrXhssKGD
213,Michael Bublé,It's Beginning to Look a Lot like Christmas,spotify:track:0lLdorYw7lVrJydTINhWdI
214,Mila Crowell,It's Beginning To Look a Lot Like Christmas,spotify:track:4bLV6dcjnHejKFKUm2lShe
215,Andy Williams,It's the Most Wonderful Time of the Year,spotify:track:5hslUAKq9I9CG2bAulFkHN
216,Chad Lawson,It's the Most Wonderful Time of the Year,spotify:track:2JPjsCvn379yvhrQ3Mdlfv
217,Andy Williams,It's the Most Wonderful Time of the Year,spotify:track:1IcR6RlgvDczfvoWJSSY2A
218,Pentatonix,It's the Most Wonderful Time of the Year,spotify:track:4DXJt41B9ZPh3UmxiPkBT0
219,Stevie Mackey,It's The Most Wonderful Time of the Year,spotify:track:4i1xD9JHGoRaXcKdmjA4yj
220,Bad Bunny,DÁKITI,spotify:track:47EiUVwUp4C9fGccaPuUCS
221,Lofi Fruits Music,Dakiti,spotify:track:3Kq9aL23BItUwtivLHypoy
222,Bad Bunny,DÁKITI,spotify:track:4MzXwWMhyBbmu6hOcLVD49
223,Dame Dame,DÁKITI,spotify:track:4jK8BJWT0DBwTGZeVuhMpI
224,Max + Johann,DÁKITI,spotify:track:1kJ7M3KH4fhbzIM0rB88uS
225,Annie Leigh,Deck the Halls - Piano Version,spotify:track:3lykOhcfTlJmrlnVcXNpu0
226,Taylor Swift,champagne problems,spotify:track:0sY6ZUTh4yoctD8VIXz339
227,The Holiday Horns,Deck The Halls,spotify:track:0SD5t32YWkTFMFOAig3dRG
228,Taylor Swift,champagne problems,spotify:track:1gcyHQpBQ1lfXGdhZmWrHP
229,Pentatonix,Deck The Halls,spotify:track:0Bponh4wbYKzf9k3AeIdF7
230,Elvis Presley,Blue Christmas,spotify:track:3QiAAp20rPC3dcAtKtMaqQ
231,Damian Syslo,Blue Christmas,spotify:track:4Qii8HjYctNiVuMcFBT4Im
232,Frank Sinatra,Blue Moon - 1998 Digital Remaster,spotify:track:5RLzsVW6UNiV2YrOlKwzNN
233,Michael Bublé,Blue Christmas,spotify:track:0QUxMKYur7kAtauLnmyBCc
234,Ella Fitzgerald,Blue Skies,spotify:track:0SIzIfR6913S1oqTbyg8YC
235,Donny Hathaway,This Christmas,spotify:track:38xhBO2AKrJnjdjVnhJES6
236,The Citizens of Halloween,This Is Halloween,spotify:track:01YROQCnF1AQm7SCWJmD2o
237,Chris Brown,This Christmas,spotify:track:3W6PmtGTyLwWBWUYplSWHT
238,Danny Elfman,What's This?,spotify:track:3fytQQcjEOWXlvI9BDXVcK
239,Christina Aguilera,This Christmas,spotify:track:32h59T8q2SonUPJ006lyXt
240,Bing Crosby,White Christmas,spotify:track:4so0Wek9Ig1p6CRCHuINwW
241,The Drifters,White Christmas,spotify:track:72Z28IsvEVLjSWdUKEQgZ0
242,Pentatonix,White Winter Hymnal,spotify:track:0qEFmBL2k8pb2OWgW490X8
243,Gregory Oberle,White Christmas,spotify:track:5scC024P3dgeTGHhYg929D
244,Michael Bublé,White Christmas (with Shania Twain),spotify:track:2gbCG4Rt9984UZ7Tc0dIFd
245,Ed Sheeran,Afterglow,spotify:track:0E4Y1XIbs8GrAT1YqVy6dq
246,Taylor Swift,Afterglow,spotify:track:1SymEzIT3H8UZfibCs3TYi
247,THE DRIVER ERA,Afterglow,spotify:track:2KKBlK4IZUdjlJ7F0WGzU6
