,artist,song,uri
788,B.Ferreira Beats,Go2damoon,spotify:track:26ruWikVusrxIPGHlTe2YL
789,Malinovyy,Go2damoon,spotify:track:1w1Ew29zt7UecvpT9T1bsk
790,Gabby Barrett,The Good Ones,spotify:track:3hLuHKzG1cmlRpq53ZVWd8
791,Widowspeak,The Good Ones,spotify:track:3wDbyc59SQyOwwCDuhoA0E
792,Luke Bryan,Drink A Beer,spotify:track:1PoGWZbJPGmViVi7CYbDUK
793,Weezer,All the Good Ones,spotify:track:5jbF98Etpr6mBTwEZ5efyW
794,Drake,Cameras / Good Ones Go Interlude - Medley,spotify:track:2FbGlEPAjNhWvrVvlentVq
795,Harry Styles,Golden,spotify:track:45S5WTQEGOB1VHr1Q4FuPl
796,Kacey Musgraves,Golden Hour,spotify:track:0pMfPzdRiPAoSM9yWF4OcT
797,Train,"Hey, Soul Sister",spotify:track:4HlFJV71xXKIGcU3kRyttv
798,Jill Scott,Golden,spotify:track:0bHs3ly4Bv5BlzE3KrePfX
799,The Stranglers,Golden Brown,spotify:track:2AX5E86cn9n2dgioZEjirI
800,SZA,Good Days,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A
801,Lofi Fruits Music,Good Days,spotify:track:5FFSjIUn0VglMDCcUwCob0
802,Gorillaz,Feel Good Inc.,spotify:track:0d28khcov6AiegSCpG5TuT
803,keshi,good days,spotify:track:6P0jAi154fKuksoKN6ePcR
804,Macklemore,Good Old Days (feat. Kesha),spotify:track:2Za1AlJNvksouPPWbXpR2X
805,Nat King Cole,The Christmas Song (Merry Christmas To You),spotify:track:4PS1e8f2LvuTFgUs1Cn3ON
806,Frank Sinatra,The Christmas Song (Merry Christmas To You) - Remastered 1999,spotify:track:7uhWhGcR3kn9czLKlbO46q
807,Loving Caliber,Merry Christmas To You,spotify:track:0jxxSfr6o7kx46rXtGnbNy
808,Frank Sinatra,The Christmas Song (Merry Christmas To You),spotify:track:4izvFmYCvwcOV8fT4tnkl4
809,Nat King Cole,The Christmas Song (Merry Christmas To You),spotify:track:5humEOJehpAwMJEJmb0JJ2
810,Owl City,Good Time,spotify:track:1kPpge9JDLpcj15qgrPbYX
811,Niko Moon,GOOD TIME,spotify:track:5Kpg1A7BOHpBbaT3H3xqd3
812,Led Zeppelin,Good Times Bad Times - 1993 Remaster,spotify:track:0QwZfbw26QeUoIy82Z2jYp
813,Green Day,Good Riddance (Time of Your Life),spotify:track:6ORqU0bHbVCRjXm9AjyHyZ
814,Jimmie Allen,Good Times Roll,spotify:track:2A0JdQvwSbOtI9sSIIxgQR
815,Blake Shelton,Happy Anywhere (feat. Gwen Stefani),spotify:track:2DwbFtfC6sXBiVDPmju8Dd
816,Blake Shelton,Happy Anywhere (feat. Gwen Stefani),spotify:track:7ojgA5rK9b2z6aE7bCDJVh
817,Vorsa,happy,spotify:track:5xKkg8piJP3TPek5qleL41
818,King Missile,Anywhere,spotify:track:5R6OlFDt6z98dCcF9TyO54
819,The Ataris,Perfectly Happy,spotify:track:4kgdJYFE9NCkEyJVfKcXVr
820,Kenny Chesney,Happy Does,spotify:track:2v08cjj3Th8RpfJgluECcj
821,Kenny Chesney,Happy Does,spotify:track:1TzYtkiNFQsAvziFzE2yms
822,The Partridge Family,Doesn't Somebody Want to Be Wanted,spotify:track:4CPBiIefLqqQtw1yeFTNF2
823,Thomas & Friends,How Does it Work?,spotify:track:19UIqwNzcq7J2zUyw4Xzf3
824,Leo,If You're Happy and You Know It (Metal Version),spotify:track:1Kb3Kxl7geQQhuW1Simwoy
825,Dan + Shay,Take Me Home For Christmas,spotify:track:72HP2M4jjw4t0AIGdEVGEF
826,Dan + Shay,Take Me Home For Christmas,spotify:track:3TT5AKBcM80qXRCfcJV2jf
827,blink-182,Please Take Me Home,spotify:track:5cgIkZcZrxDdtWbbQ3L5iB
828,The Holidays,Wishlist,spotify:track:5Gq6ab0zQduLiYhmj4M9pf
829,US Air Force Concert Band and Singing Sergeants,Take Me Home for Christmas,spotify:track:2dTjtbtuHv0Lq6DvH224wm
830,Lil Durk,Still Trappin' (with King Von),spotify:track:43BlKpJcSrC9AsJ3F1DKg9
831,Lil Durk,Still Trappin',spotify:track:1hCbAGAfokUaLC7H29Lclm
832,Lil Durk,Still Trappin',spotify:track:7utQunMMnJNdnzXk9WXHZc
833,Producer Data,Still Trapping,spotify:track:4CiBMd4hFGTVLJdixDoEtJ
834,Lil Durk,Still Trappin' (with King Von),spotify:track:52ZfuQQ3k9j7LWxXSwZFFa
835,Lil Durk,Stay Down (with 6LACK & Young Thug),spotify:track:6w4PV16oMh5I6ZOCvig0hK
836,Brent Faiyaz,Stay Down,spotify:track:4mwiRPRAUSSFD6lJ86m98B
837,Lil Durk,Stay Down (with 6LACK & Young Thug),spotify:track:4GusQlLtyqBYSMjkodJY6K
838,Yung Mal,Stay Down,spotify:track:3r11w9Q57YhycAqVyg5EEP
839,Julien Baker,Stay Down,spotify:track:2yIfFEE5GMtK5XqMz2704V
840,Chris Stapleton,Starting Over,spotify:track:3TNSVsiFngfe68UJpMq1oS
841,Niykee Heaton,Starting Over,spotify:track:15jMztFtJ1mFFJ11SZvHHZ
842,Chris Stapleton,You Should Probably Leave,spotify:track:2UikqkwBv7aIvlixeVXHWt
843,LSD and the Search for God,Starting Over,spotify:track:0dcu28YT8cXZH7JTIraszp
844,Demi Lovato,Met Him Last Night (feat. Ariana Grande),spotify:track:0BI0hfbmqybnd3TezrDME3
845,Maluma,Hawái - Remix,spotify:track:0GzuHFG4Ql6DoyxFRnIk3F
846,Maluma,Hawái,spotify:track:4uoR6qeWeuL4Qeu2qJzkuG
847,Mark Keali'i Ho'omalu,"Hawaiian Roller Coaster Ride - From ""Lilo & Stitch""/Soundtrack Version",spotify:track:7GmiJVBAzWNikX5VkNQg85
848,Maluma,Hawái,spotify:track:1yoMvmasuxZfqHEipJhRbp
849,Cub Sport,Hawaiian Party,spotify:track:13aTJyIiL95yMLU5df5jts
850,The Kid LAROI,SO DONE,spotify:track:5psEZhQu6lukjhavJo4AbC
851,Alicia Keys,So Done (feat. Khalid),spotify:track:0DC6yJLAPwIEeZh6EZpn1f
852,The Kid LAROI,SO DONE,spotify:track:3qgPpwtuRu5oP8EtFSj8HE
853,Blinded Hearts,So Done,spotify:track:0fjPCWzHGEJ4jXdjmjuQ0V
854,The Kid LAROI,SO DONE,spotify:track:2gqWRRCXnma9L8xQ1RdemQ
855,Playboi Carti,Slay3r,spotify:track:1eMNW1HQjF1dbb4GtnmpaX
856,Ysjonas,Slay3r,spotify:track:1gZIOlYllP1IxidnSRwV8e
857,DJ Kay Slay,"Rolling 50 Deep (feat. Sheek Louch, Styles P, Benny The Butcher, Bun B, Ghostface Killah, Raekwon, AZ, Papoose, Ransom, Memphis Bleek, Billy Danze, Lil Fame, Dave East, 3D Natee, Joell Ortiz, Saigon, Mistah F.A.B., Chris Rivers, Jon Connor, Twista, E-40, Nino Man, Shoota, Mysonne, Sauce Money, Ice-T, Trick Trick, RJ Payne, E-A-Ski, Fred The Godson, Loaded Lux, Termanology, Young Noble, EDI, Locksmith, Cassidy, Maino, Vado, Rockness, DJ Paul, MC Gruff, Stan Spit, Uncle Murda, Cory Gunz, Melle Mel, Grandmaster Caz, Trae Tha Truth, Bynoe, Hocus 45th & Royce da 5'9)",spotify:track:3lZ5reS0bAq9REusvBOeql
858,Slayer,Raining Blood,spotify:track:01Mpj13vURSO3cCLprPt5T
859,InternetCity,Never Alone (Demon Slayer Rap) [feat. 3 Daze & Candid],spotify:track:3vX9RcojfVHSXICC1MRIOK
860,SZA,Hit Different,spotify:track:7Bar1kLTmsRmH6FCKKMEyU
861,Trey Songz,Hit Different,spotify:track:1yZJ0GttdBhbE3coqc4em1
862,DJ Snake,A Different Way,spotify:track:6jGxFKjtQgJIJUoDDGmla4
863,Pootie P,Hit Different,spotify:track:44Y2Z3AHGEdM6LYx86t8wh
864,Doug Stone,In a Different Light,spotify:track:5O0GOy0L0zfDTPv9eIApkg
865,Kelsea Ballerini,hole in the bottle,spotify:track:2yySWxfeRN2QRZnFMnYMQl
866,Kelsea Ballerini,hole in the bottle (with Shania Twain),spotify:track:2bV4NwncWMnVvcWyU2yxwB
867,Kelsea Ballerini,hole in the bottle,spotify:track:2EzFVkHWMMWmdwW08AlCK8
868,Kelsea Ballerini,hole in the bottle - ballerini album version,spotify:track:1f6BZccfonUYohfGJIeBR1
869,Sarah Harmer,Basement Apt.,spotify:track:4l2ZwGfd6ugIZViw7dtV8K
870,The Weeknd,Save Your Tears,spotify:track:5QO79kh1waicV47BqGRL3g
871,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),spotify:track:37BZB0z9T8Xu7U3e65qxFy
872,Lofi Fruits Music,Save Your Tears,spotify:track:7aXgt6bprirdbZrrC0fsqx
873,The Weeknd,Save Your Tears,spotify:track:2ExKb6Ag2WXob6FpkSeXhE
874,Boyce Avenue,Save Your Tears,spotify:track:45SbQo5bq8f0hNdB70IyFC
875,Jawsh 685,Savage Love (Laxed - Siren Beat),spotify:track:1xQ6trAsedVPCdbtDAmk0c
876,Jawsh 685,Savage Love (Laxed – Siren Beat) [BTS Remix],spotify:track:4TgxFMOn5yoESW6zCidCXL
877,Flying Fingers,Savage Love - Laxed - Siren Beat [Piano Version],spotify:track:4vkJ4vIyUsgzMAQbLibE7w
878,Jawsh 685,Savage Love (Laxed - Siren Beat),spotify:track:5T490vvoFNU6psep0NPmxs
879,Pianoholic,Savage Love (Laxed / Siren Beat),spotify:track:2h7D3AhbPEvd1qYIZtoWa8
880,Lil Nas X,HOLIDAY,spotify:track:6zFMeegAMYQo0mt8rXtrli
881,Green Day,Holiday,spotify:track:4VgEM12OeaN3GyBV487Me7
882,Green Day,Holiday / Boulevard of Broken Dreams,spotify:track:0MsrWnxQZxPAcov7c74sSo
883,Little Mix,Holiday,spotify:track:5428XgSLRJfpMRN3r6YXob
884,J. Holiday,Bed,spotify:track:6TlRNJaezOdzdECnQeRuMM
885,Chuck Berry,Run Rudolph Run - Single Version,spotify:track:2pnPe4pJtq7689i5ydzvJJ
886,JoJo Siwa,Run Run Rudolph,spotify:track:4cSx0ae5dR4svMsuNI3E3E
887,Cocomelon,Run Rudolph Run,spotify:track:5YNmIYVYqqvCgWMmy46RYO
888,Kelly Clarkson,Run Run Rudolph,spotify:track:7qtBirjfexEIOK3xuqYLR3
889,Blippi,Run Rudolph Run,spotify:track:2zQsRqmJxbeUp1YQETp6fr
890,Justin Bieber,Holy,spotify:track:1Oe6epuil8qP2yWsgejN3E
891,Justin Bieber,Holy (feat. Chance The Rapper),spotify:track:5u1n1kITHCxxp8twBcZxWy
892,Justin Bieber,Holy,spotify:track:0WsOfDApVckIHtg4VeJYAI
893,JAY-Z,Holy Grail,spotify:track:37jTPJgwCCmIGMPB45jrPV
894,Justin Bieber,Holy - Acoustic,spotify:track:2Gy4PPlkNVkqtdmP6T6e1o
895,Gabby Barrett,I Hope,spotify:track:23T0OX7QOiIUFShSzbJ5Uo
896,Carly Pearce,I Hope You’re Happy Now,spotify:track:0Al3wN3keprGTSgG8NBwjr
897,XXXTENTACION,Hope,spotify:track:63Pr3MqIpk4gCq7dZMdCnG
898,Gabby Barrett,I Hope (feat. Charlie Puth),spotify:track:5cYFwgA5dHoqR3xGnlr9ew
899,Joseph Black,(i hope you) miss me,spotify:track:1Zv2jT7iZu98Feqpzhn0nd
900,Billie Eilish,Therefore I Am,spotify:track:54bFM56PmE4YLRnqpW6Tha
901,Rain Paris,Therefore I Am,spotify:track:5YopkHj2UkfCdUNA5oPsI7
902,Billie Eilish,Therefore I Am,spotify:track:45NjrHONmX8kauOSVhnKba
903,We Rabbitz,Therefore I Am (Dance Remix),spotify:track:3gbicZEtGoj5VTkXnEt9Ji
904,Metallica,Of Wolf And Man,spotify:track:1cojSYj0ugS7tmcwKIxMX4
905,Skillet,Monster,spotify:track:2UREu1Y8CO4jXkbvqAtP7g
906,All Time Low,Monsters (feat. blackbear),spotify:track:0tyR7Bu9P086aWBFZ4QJoo
907,Falling In Reverse,Popular Monster,spotify:track:4GssB27iJeqmfGxS94Tfij
908,Lady Gaga,Monster,spotify:track:5AH86RnBkZNs2A1zGO8Gr3
909,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),spotify:track:2Z8yfpFX0ZMavHkcIeHiO1
910,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,spotify:track:2uFaJJtFpPDc5Pa95XzTvg
911,Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),spotify:track:4kKdvXD0ez7jp1296JmAts
912,Jane Dupree,Let It Snow! Let It Snow! Let It Snow!,spotify:track:45yPqVg5dHBwsEK1Z72DwW
913,TWICE,Fake & True,spotify:track:2sKWWJ5ee3EnKBztzxPpMH
914,Universe Mind,Let It Snow Let It Snow Let It Snow,spotify:track:15a8V1kcwfqimlHRe5n6Yl
915,Luke Combs,Better Together,spotify:track:6gdLyYNuhWBzqwlOFSsXC7
916,Jack Johnson,Better Together,spotify:track:4VywXu6umkIQ2OS0m1I79y
917,Lofi Fruits Music,Better Together,spotify:track:0PO1YxbnvzYayge7GgQFQ2
918,Jack Johnson,Better Together,spotify:track:2rbBOkJEEI0S91t3STS6I2
919,Us The Duo,Better Together,spotify:track:6huS9u0BDfeQHq0lObNLPl
920,Mariah Carey,All I Want for Christmas Is You,spotify:track:0bYg9bo50gSsH3LtXe2SQn
921,Milos Foreman,All I Want For Christmas Is You,spotify:track:0lCNThO3PpgXhXzOjnMyDA
922,Liam Payne,All I Want (For Christmas),spotify:track:7lbto9KYTHq5V1PetjIMOF
923,Michael Bublé,All I Want for Christmas Is You,spotify:track:1FRqLI971CD1QedTiJeL3c
924,Liam Payne,All I Want (For Christmas),spotify:track:0JM8LI4HxrQs2Reqr2naYo
925,Ariana Grande,34+35,spotify:track:6Im9k8u9iIzKMrmV7BWtlF
926,Ariana Grande,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",spotify:track:3jjBPF4NDMCU51psU8JPpR
927,Xeno Z,34+35 Tik - Slowed,spotify:track:04MhFCidJs7bCOmI6QmeDg
928,Ariana Grande,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",spotify:track:2sQH02O2HBCPJCztBrCWNa
929,SuperFitness,34+35 - Workout Mix 132 bpm,spotify:track:6YoomIkKUBz2HZyfsIi571
930,Ed Sheeran,Afterglow,spotify:track:0E4Y1XIbs8GrAT1YqVy6dq
931,Taylor Swift,Afterglow,spotify:track:1SymEzIT3H8UZfibCs3TYi
932,THE DRIVER ERA,Afterglow,spotify:track:2KKBlK4IZUdjlJ7F0WGzU6
933,Silverstein,The Afterglow,spotify:track:4VKN3lBovrmKK7nWP4xknO
934,Wilkinson,Afterglow,spotify:track:6LW3Z1GqbL78TIjfDyg4zp
935,KAROL G,BICHOTA,spotify:track:7vrJn5hDSXRmdXoR30KgF1
936,FrioLento,Bichota (Post-Punk),spotify:track:3o8tpXm59d9a8wulsGLZ3y
937,KAROL G,BICHOTA,spotify:track:63algKnbz4NMu8ihJOp0KC
938,Tabata Songs,Bichota (Tabata),spotify:track:2gkBUzKx0qkfgGqTSB22ro
939,KAROL G,BICHOTA,spotify:track:0Z15d64TT2PjbyMHRCoX2v
940,Chris Lane,"Big, Big Plans",spotify:track:7yNJCsUH3tXlpQiHSsAc5l
941,Chris Lane,"Big, Big Plans (Acoustic)",spotify:track:3thumKnUsEWWqSNRlADxZ8
942,The Buttertones,Orpheus Under the Influence,spotify:track:7KwJrAQMoJyUEBes3evMLv
943,Chris Lane,"Big, Big Plans (Live)",spotify:track:1pYRNzo6ejCRptvIURMdKh
944,P-Lo,same squad,spotify:track:0YCl0i8CTDqtISiphhLIE8
945,Jon Pardi,Ain't Always The Cowboy,spotify:track:77XoAnllT85lmR9WP0D8dS
946,Jon Pardi,Ain't Always The Cowboy - Western Version,spotify:track:53Cjh66UymyrPvgyN2wo9i
947,Jon Pardi,Ain't Always The Cowboy,spotify:track:6qzpaXzOmISEosHnnlsfs0
948,Jon Pardi,Ain't Always The Cowboy - Western Version,spotify:track:3As64yn0YtpJRnPi56cTke
949,Jon Pardi,Ain't Always The Cowboy,spotify:track:0IltSq80UORoGHZhZfwme4
950,Lil Durk,Backdoor,spotify:track:1MUsTqcuOaBeMnEL73K4fS
951,Shoreline Mafia,Backdoor,spotify:track:2kSCBufwRjRP41TOyPPCkF
952,Lil Durk,Backdoor,spotify:track:56MHJngdSUYD1XL2deCvZQ
953,Nate Dogg,Backdoor,spotify:track:3f43wjAoXDHj1VFSwmd8yV
954,Lil Durk,Backdoor,spotify:track:2Ntnjpd4ycYd1XTkalI87c
955,Morgan Wallen,7 Summers,spotify:track:4obHzpwGrjoTuZh2DItEMZ
956,Dopeboy Herron,7 Summers,spotify:track:5I36UFo2UifZl2t89wCz7o
957,Morgan Wallen,7 Summers,spotify:track:0tbjiOUl4k492KPdWZS9sy
958,Morgan Wallen,7 Summers,spotify:track:16UmMwi4LOZ2Y3U6VtXIht
959,Ludwig van Beethoven,"Symphony No. 7 in A Major, Op. 92: III. Presto",spotify:track:4F5ZGtyKOhkzYvXJIjckNg
960,Darius Rucker,Beers And Sunshine,spotify:track:36ISlLb12gKuCCVTYXC0gb
961,Commissioner Lo-Fi,Beers And Sunshine,spotify:track:0J0RvWvltfbEFXgpfV9DNG
962,Darius Rucker,Beers And Sunshine,spotify:track:4Rz7DLpxX88O412r37V1Eo
963,Darius Rucker,Beers And Sunshine,spotify:track:2tR1m6lRv9Lb6qKRn6Wzor
964,Jesse Thune,Beers and Sunshine,spotify:track:6V9EHznXgCr4yI72zH5uj3
965,Burl Ives,A Holly Jolly Christmas - Single Version,spotify:track:77khP2fIVhSW23NwxrRluh
966,Rita May,A Holly Jolly Christmas,spotify:track:7nH4hOiwPlutDW9qw0hBhs
967,Michael Bublé,Holly Jolly Christmas,spotify:track:5PuKlCjfEVIXl0ZBp5ZW9g
968,Brett Eldredge,A Holly Jolly Christmas,spotify:track:1GpPsjjd4D1jsteGYpGGIN
969,Michael Bublé,Holly Jolly Christmas,spotify:track:6tjituizSxwSmBB5vtgHZE
970,AJR,Bang!,spotify:track:53BHUFdQphHiZUUG3nx9zn
971,Jessie J,Bang Bang,spotify:track:0puf9yIluy9W0vpMEUoAnN
972,Trippie Redd,BANG!,spotify:track:1pF74yw15wXk12A1NPVWHD
973,BTS,Dynamite,spotify:track:4saklk6nie3yiGePpBwUoc
974,Sohodolls,Bang Bang Bang Bang,spotify:track:2qLSXZuIHMsKydCEFDchc3
975,Popp Hunna,Adderall (Corvette Corvette),spotify:track:3aAmQOxRPeKDL0HMWFA5qn
976,Popp Hunna,Adderall (Corvette Corvette) - Remix,spotify:track:2Y3USTCETS4xbjJOzT1Icm
977,Popp Hunna,Adderall (Corvette Corvette) [feat. Lil Uzi Vert] - Remix,spotify:track:1MJP0iypb4krBFdn4wO9b7
978,Popp Hunna,Adderall (Corvette Corvette),spotify:track:3PiATJqr7LzZfhKT9B18Rk
979,Popp Hunna,Adderall (Corvette Corvette) [feat. Lil Uzi Vert] - Remix,spotify:track:64nONFbHRxFIqGwYYqZfol
980,The Weeknd,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b
981,Kidz Bop Kids,Blinding Lights,spotify:track:0e5xc0NhC8ijMtVlH3LHl8
982,The Weeknd,Blinding Lights (with ROSALÍA) - Remix,spotify:track:7MXgrcOQAJ5VwSNUL0lDd3
983,Kidz Bop Kids,Blinding Lights,spotify:track:02nMYbIiYIzaFA3D3Bkn6W
984,Fame on Fire,Blinding Lights,spotify:track:5PNbtMHJnH0arPrFw5GXkW
985,Jhené Aiko,B.S. (feat. H.E.R.),spotify:track:63wx9vdskaXbYxyDx4oJCZ
986,Jhené Aiko,B.S. (feat. Kehlani) - Remix,spotify:track:5wsHLrhch5EIS6nsgld6y2
987,Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),spotify:track:6fRxMU4LWwyaSSowV441IU
988,"Tyler, The Creator",B.S.D.,spotify:track:6XOvMjNjLdTsolZGAy5w4s
989,Bruno Mars,Leave The Door Open,spotify:track:7MAibcTli4IisCtbHKrGMh
990,Saweetie,Back to the Streets (feat. Jhené Aiko),spotify:track:3MEruRteiUZXkStfTlZqRn
991,Rudy Norman,Back to the Streets,spotify:track:0if6LnpDWtpy1p3b7kkhTZ
992,Panic! At The Disco,Nine in the Afternoon - Single Mix,spotify:track:1S30kHvkkdMkcuCTGSgS41
993,J-Diggs,Back to the Streets,spotify:track:57vs2txCY3wQOoo10ml3et
994,Moneybagg Yo,Said Sum,spotify:track:3sKz6Sd72K0ofPWcJPPk6H
995,Lewis Capaldi,Before You Go,spotify:track:2gMXnyrvIjhVBUZwvLZDMP
996,Jhove,Before You Go,spotify:track:2GxoKme3baQNHHLrGdYJZP
997,Lewis Capaldi,Before You Go,spotify:track:7ce20yLkzuXXLUhzIDoZih
998,Lewis Capaldi,Before You Go - Piano Version,spotify:track:7slfeXbuzr9RYXX6XS6Npi
999,Wham!,Wake Me Up Before You Go-Go,spotify:track:0ikz6tENMONtK6qGkOrU3c
1000,Saweetie,Back to the Streets (feat. Jhené Aiko),spotify:track:3MEruRteiUZXkStfTlZqRn
1001,Rudy Norman,Back to the Streets,spotify:track:0if6LnpDWtpy1p3b7kkhTZ
1002,Panic! At The Disco,Nine in the Afternoon - Single Mix,spotify:track:1S30kHvkkdMkcuCTGSgS41
1003,J-Diggs,Back to the Streets,spotify:track:57vs2txCY3wQOoo10ml3et
1004,Moneybagg Yo,Said Sum,spotify:track:3sKz6Sd72K0ofPWcJPPk6H
1005,Dustin Lynch,Momma’s House,spotify:track:51FVpJr3WL7vvdfCa7j2jr
1006,✦ pink cig ✦,Momma's House 222,spotify:track:4dtjJIfG77CkvbBjR1uSG8
1007,Aha Gazelle,Momma House,spotify:track:6bI3zE0R7iPSRh6LL45nN7
1008,Martin A. Batts,big momma's house,spotify:track:1j9vX9c6UoSHJsScmW24rd
1009,Lil Stoney,Momma House,spotify:track:4AlYDalWVuYxTgUojRGGzO
1010,The Kid LAROI,SO DONE,spotify:track:5psEZhQu6lukjhavJo4AbC
1011,Alicia Keys,So Done (feat. Khalid),spotify:track:0DC6yJLAPwIEeZh6EZpn1f
1012,The Kid LAROI,SO DONE,spotify:track:3qgPpwtuRu5oP8EtFSj8HE
1013,Blinded Hearts,So Done,spotify:track:0fjPCWzHGEJ4jXdjmjuQ0V
1014,The Kid LAROI,SO DONE,spotify:track:2gqWRRCXnma9L8xQ1RdemQ
1015,King Von,Took Her To The O,spotify:track:7fEoXCZTZFosUFvFQg1BmW
1016,Adasingom Jenkinsingarishok,Took Her To The O,spotify:track:00Qjy4hQ0jb1jHsRoFkLwC
1017,DJ Khaled,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),spotify:track:1EJIcDYXwSqipW5dFe4uJz
1018,Fyb J Mane,Took Her to the O,spotify:track:1N3gf22pSfxLNnkAzGmNHL
1019,King Von,Took Her To The O,spotify:track:0kSnpKOS1bUguBGe2z661G
1020,Megan Thee Stallion,Cry Baby (feat. DaBaby),spotify:track:4aarlAfLKVCTxUDNgbwhjH
1021,The Neighbourhood,Cry Baby,spotify:track:0EfsDEYaSjGYd66Pr881nq
1022,Melanie Martinez,Play Date,spotify:track:4DpNNXFMMxQEKl7r0ykkWA
1023,Melanie Martinez,Cry Baby,spotify:track:052vSBPxqdmYRDlkSPiavc
1024,Janis Joplin,Cry Baby,spotify:track:3L60Vu9qmY6fg2QroRIxgi
1025,Kenny Chesney,Happy Does,spotify:track:2v08cjj3Th8RpfJgluECcj
1026,Kenny Chesney,Happy Does,spotify:track:1TzYtkiNFQsAvziFzE2yms
1027,The Partridge Family,Doesn't Somebody Want to Be Wanted,spotify:track:4CPBiIefLqqQtw1yeFTNF2
1028,Thomas & Friends,How Does it Work?,spotify:track:19UIqwNzcq7J2zUyw4Xzf3
1029,Leo,If You're Happy and You Know It (Metal Version),spotify:track:1Kb3Kxl7geQQhuW1Simwoy
1030,Blake Shelton,Happy Anywhere (feat. Gwen Stefani),spotify:track:2DwbFtfC6sXBiVDPmju8Dd
1031,Blake Shelton,Happy Anywhere (feat. Gwen Stefani),spotify:track:7ojgA5rK9b2z6aE7bCDJVh
1032,Vorsa,happy,spotify:track:5xKkg8piJP3TPek5qleL41
1033,King Missile,Anywhere,spotify:track:5R6OlFDt6z98dCcF9TyO54
1034,The Ataris,Perfectly Happy,spotify:track:4kgdJYFE9NCkEyJVfKcXVr
1035,Ed Sheeran,Afterglow,spotify:track:0E4Y1XIbs8GrAT1YqVy6dq
1036,Taylor Swift,Afterglow,spotify:track:1SymEzIT3H8UZfibCs3TYi
1037,THE DRIVER ERA,Afterglow,spotify:track:2KKBlK4IZUdjlJ7F0WGzU6
1038,Silverstein,The Afterglow,spotify:track:4VKN3lBovrmKK7nWP4xknO
1039,Wilkinson,Afterglow,spotify:track:6LW3Z1GqbL78TIjfDyg4zp
1040,Parker McCollum,Pretty Heart,spotify:track:6vC90OOjZR165Hw8CpsqEm
1041,PRETTYMUCH,Temporary Heart,spotify:track:2MiRMsQZzMpxK92AXQaoh8
1042,Mint Condition,Breakin' My Heart (Pretty Brown Eyes),spotify:track:18sytW2s53Of6NVudQyUlH
1043,Ray Garrison,i h8 u,spotify:track:31elSW7245PVHWSUFNhGT8
1044,Parker McCollum,Pretty Heart,spotify:track:5xiJH6JMQWSPTMzuUCiwy9
1045,AJR,Bang!,spotify:track:53BHUFdQphHiZUUG3nx9zn
1046,Jessie J,Bang Bang,spotify:track:0puf9yIluy9W0vpMEUoAnN
1047,Trippie Redd,BANG!,spotify:track:1pF74yw15wXk12A1NPVWHD
1048,BTS,Dynamite,spotify:track:4saklk6nie3yiGePpBwUoc
1049,Sohodolls,Bang Bang Bang Bang,spotify:track:2qLSXZuIHMsKydCEFDchc3
1050,Jameson Rodgers,Some Girls,spotify:track:54eUv9Q3D9MZuOGS5PSflp
1051,Sawyer Brown,Some Girls Do,spotify:track:37JPdGgYcQAJSElj5boJx8
1052,The Rolling Stones,Beast Of Burden - Remastered 1994,spotify:track:77oU2rjC5XbjQfNe3bD6so
1053,The Rolling Stones,Some Girls - Remastered,spotify:track:3pQXptTkIkOQsK3pyYlRbJ
1054,American Aquarium,Some Girls Do,spotify:track:2EQCZ6em9KusjZejiBPazC
1055,Owl City,Good Time,spotify:track:1kPpge9JDLpcj15qgrPbYX
1056,Niko Moon,GOOD TIME,spotify:track:5Kpg1A7BOHpBbaT3H3xqd3
1057,Led Zeppelin,Good Times Bad Times - 1993 Remaster,spotify:track:0QwZfbw26QeUoIy82Z2jYp
1058,Green Day,Good Riddance (Time of Your Life),spotify:track:6ORqU0bHbVCRjXm9AjyHyZ
1059,Jimmie Allen,Good Times Roll,spotify:track:2A0JdQvwSbOtI9sSIIxgQR
1060,Morgan Wallen,7 Summers,spotify:track:4obHzpwGrjoTuZh2DItEMZ
1061,Dopeboy Herron,7 Summers,spotify:track:5I36UFo2UifZl2t89wCz7o
1062,Morgan Wallen,7 Summers,spotify:track:0tbjiOUl4k492KPdWZS9sy
1063,Morgan Wallen,7 Summers,spotify:track:16UmMwi4LOZ2Y3U6VtXIht
1064,Ludwig van Beethoven,"Symphony No. 7 in A Major, Op. 92: III. Presto",spotify:track:4F5ZGtyKOhkzYvXJIjckNg
1065,Dua Lipa,Levitating (feat. DaBaby),spotify:track:463CkQjx2Zk1yXoBuierM9
1066,Dua Lipa,Levitating,spotify:track:39LLxExYz6ewLAcYrzQQyP
1067,Dua Lipa,Levitating (feat. DaBaby),spotify:track:5nujrmhLynf4yMoMtj8AQF
