song,performer,chart_position,previous_position,peak,weeks_on_chart,hitTF,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Delicate,Taylor Swift,56.0,52.0,46.0,8.0,1.0,6NFyWDv5CjfwuzoCkw47Xf,0.75,0.404,9.0,-10.178,0.0,0.0682,0.21600000000000005,0.000357,0.0911,0.0499,95.045,232253.0,4.0
She Got The Best Of Me,Luke Combs,58.0,48.0,48.0,8.0,1.0,6kZ2EPr4J3593VDVG9YQup,0.5329999999999999,0.9,11.0,-3.767,1.0,0.0413,0.025,0.0,0.264,0.674,150.991,181213.0,4.0
Blue Tacoma,Russell Dickerson,58.0,60.0,52.0,8.0,1.0,5PBx0zFfehUMyv5H4YXVAU,0.458,0.897,9.0,-4.879,1.0,0.0402,0.0183,0.0,0.174,0.728,160.131,212067.0,4.0
Take It From Me,Jordan Davis,59.0,62.0,58.0,8.0,1.0,3dCZm5HrG0jIXAHfNkg2H0,0.5920000000000001,0.8909999999999999,10.0,-3.144,1.0,0.0512,0.0267,0.0,0.35200000000000004,0.674,99.983,174255.0,4.0
Still Goin Down,Morgan Wallen,86.0,0.0,0.0,0.0,1.0,096YtKWNRXdmYKFLelSBto,0.58,0.7509999999999999,7.0,-5.078,1.0,0.0267,0.49,0.0,0.277,0.718,148.108,186293.0,4.0
Boo'd Up,Ella Mai,8.0,8.0,8.0,9.0,1.0,0At2qAoaVjIwWNAqrscXli,0.561,0.779,10.0,-5.107,0.0,0.0531,0.0862,0.0,0.078,0.235,81.965,256064.0,4.0
Stir Fry,Migos,10.0,10.0,8.0,9.0,1.0,2UVbBKQOdFAekPTRsnkzcf,0.8170000000000001,0.816,2.0,-5.402,1.0,0.269,0.00263,0.0,0.159,0.508,181.982,190288.0,4.0
Get Along,Kenny Chesney,85.0,0.0,85.0,1.0,1.0,6n6OQfBpCgzF9oEg8zhBN7,0.632,0.804,7.0,-6.109,1.0,0.0503,0.101,0.0,0.17,0.35,92.456,199625.0,4.0
Hooked,Dylan Scott,85.0,0.0,85.0,1.0,1.0,3DV49ruvI5Sl6iisPZAc2c,0.597,0.721,9.0,-6.4220000000000015,1.0,0.0356,0.0362,0.0,0.0832,0.4370000000000001,132.054,149293.0,4.0
Leave Me Alone,Flipp Dinero,96.0,0.0,96.0,1.0,1.0,6V7g6qM8wheMivMWrzbPTM,0.792,0.743,7.0,-2.806,1.0,0.0851,0.107,0.0,0.183,0.742,150.024,195637.0,4.0
Leave Me Alone,NF,85.0,0.0,85.0,1.0,1.0,3EtyEzMpfKSaoVhPunvbRV,0.722,0.741,1.0,-3.72,1.0,0.19,0.249,0.0,0.151,0.46,162.11,308652.0,4.0
In My Room,Frank Ocean,85.0,0.0,85.0,1.0,1.0,4S4Mfvv03M1cHgIOJcbUCL,0.861,0.647,7.0,-7.425,1.0,0.0675,0.594,0.6609999999999999,0.114,0.67,158.037,133680.0,4.0
Drunk Girl,Chris Janson,86.0,0.0,86.0,1.0,1.0,1kFBLqkTuNKlspkJ1EOGjN,0.485,0.306,0.0,-8.431000000000001,1.0,0.0409,0.794,0.0,0.122,0.224,203.729,207267.0,4.0
Lick,Offset,86.0,0.0,86.0,1.0,1.0,4W9XGjEUVG9junR70FOLii,0.959,0.539,4.0,-6.6110000000000015,0.0,0.0958,0.172,0.0,0.108,0.657,103.0,204516.0,4.0
Golden,Harry Styles,86.0,0.0,86.0,1.0,1.0,45S5WTQEGOB1VHr1Q4FuPl,0.448,0.838,4.0,-5.2570000000000014,0.0,0.0557,0.21,0.000131,0.131,0.254,139.863,208907.0,4.0
Millionaire,Chris Stapleton,96.0,0.0,96.0,1.0,1.0,68JS5SFTnW5Yv9Vzw81Jf0,0.616,0.474,10.0,-9.608,1.0,0.0266,0.192,0.00762,0.0989,0.493,142.689,210133.0,4.0
"Hey Look Ma, I Made It",Panic! At The Disco,96.0,0.0,96.0,1.0,1.0,22oEJW6r2rMb9z4IntfyEa,0.5770000000000001,0.833,5.0,-3.337,1.0,0.0695,0.0137,0.0,0.121,0.58,107.936,169667.0,4.0
HP,Maluma,96.0,0.0,96.0,1.0,1.0,1LIqNVhaIgxXUt2eVoIQJ3,0.8370000000000001,0.7909999999999999,4.0,-3.157,0.0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,184436.0,4.0
Mercy,Brett Young,97.0,0.0,97.0,1.0,1.0,2VIPU72L6tIR4w8J8ap6Kp,0.638,0.3670000000000001,4.0,-7.9060000000000015,1.0,0.0266,0.84,0.0,0.0999,0.219,71.957,217120.0,4.0
Hangin' On,Chris Young,97.0,0.0,97.0,1.0,1.0,6CyJlVAEFlNdpggOLanytL,0.434,0.831,8.0,-4.774,1.0,0.0453,0.0651,0.0,0.119,0.596,156.034,185440.0,4.0
