song,performer,chart_position,previous_position,peak,weeks_on_chart,hitTF,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Saint-Tropez,Post Malone,18.0,0.0,18.0,1.0,1.0,05mDaV9Vb3wrzjF6OPZnhq,0.617,0.684,0.0,-3.6180000000000003,1.0,0.0439,0.0545,0.0,0.10400000000000001,0.295,132.113,150867.0,4.0
BOP,DaBaby,19.0,0.0,19.0,1.0,1.0,6Ozh9Ok6h4Oi1wUSLtBseN,0.769,0.787,11.0,-3.909,1.0,0.36700000000000005,0.18899999999999997,0.0,0.129,0.836,126.77,159715.0,4.0
Selah,Kanye West,19.0,0.0,19.0,1.0,1.0,39JRmdKFka1Oe09FoOCPI4,0.48200000000000004,0.618,9.0,-5.672999999999999,0.0,0.19699999999999998,0.647,0.000859,0.32,0.146,90.07600000000001,164620.0,3.0
Nice For What,Drake,1.0,0.0,1.0,1.0,1.0,3CA9pLiwRIGtUBiMjbZmRw,0.585,0.909,8.0,-6.474,1.0,0.0707,0.0891,9.7e-05,0.11900000000000001,0.758,93.37200000000001,210747.0,4.0
8 Out Of 10,Drake,21.0,0.0,21.0,1.0,1.0,0zqy3ss4CwD6u4QPksS0nI,0.527,0.6890000000000001,2.0,-7.87,1.0,0.741,0.161,0.0,0.498,0.31,170.53799999999998,195720.0,4.0
44 More,Logic,22.0,0.0,22.0,1.0,1.0,3e7Y6sfFlIdBMJhX7wpqVO,0.8240000000000001,0.584,10.0,-7.098,0.0,0.221,0.0718,0.0,0.106,0.21899999999999997,139.965,188600.0,4.0
Over Now,Post Malone,24.0,0.0,24.0,1.0,1.0,09IOPhEh1OMe0HD9b36FJk,0.569,0.777,4.0,-4.041,0.0,0.0834,0.139,0.0,0.132,0.18100000000000002,164.02700000000002,246987.0,4.0
Robbery,Juice WRLD,27.0,0.0,27.0,1.0,1.0,6Hj9jySrnFppAI0sEMCZpJ,0.685,0.6920000000000001,2.0,-5.122000000000001,1.0,0.0457,0.32799999999999996,0.0,0.153,0.578,159.966,240051.0,5.0
Cool,Jonas Brothers,27.0,0.0,27.0,1.0,1.0,7yfi8B8opXjnRh4VZnOkz9,0.6829999999999999,0.598,0.0,-5.487,1.0,0.0423,0.00873,0.0,0.156,0.62,78.969,167107.0,4.0
Paper Rings,Taylor Swift,45.0,0.0,45.0,1.0,1.0,4y5bvROuBDPr5fuwXbIBZR,0.8109999999999999,0.7190000000000001,9.0,-6.553,1.0,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,222400.0,4.0
