song,performer,date,chart_position,previous_position,peak,weeks_on_chart,hitTF
What's Your Country Song,Thomas Rhett,2021-04-10,42,35,29,17,1
What's Next,Drake,2021-04-10,13,8,1,7,1
Lemon Pepper Freestyle,Drake Featuring Rick Ross,2021-04-10,70,56,3,5,1
Made For You,Jake Owen,2021-04-10,75,78,42,9,1
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,2021-04-10,37,33,11,18,1
Somebody Like That,Tenille Arts,2021-04-10,66,67,50,14,1
Put Your Records On,Ritt Momney,2021-04-10,43,39,30,16,1
Levitating,Dua Lipa Featuring DaBaby,2021-04-10,7,7,5,18,1
Wasted On You,Morgan Wallen,2021-04-10,79,77,9,15,1
Richer,Rod Wave Featuring Polo G,2021-04-10,22,0,22,4,1
Mood,24kGoldn Featuring iann dior,2021-04-10,9,10,1,18,1
Quicksand,Morray,2021-04-10,83,80,71,11,1
Sneaky Links,Rod Wave,2021-04-10,98,0,98,1,1
Drivers License,Olivia Rodrigo,2021-04-10,5,4,1,15,1
Save Your Tears,The Weeknd,2021-04-10,6,5,4,17,1
Body,Megan Thee Stallion,2021-04-10,81,71,16,16,1
Settling Down,Miranda Lambert,2021-04-10,90,95,65,6,1
We're Good,Dua Lipa,2021-04-10,48,51,38,10,1
Long Live,Florida Georgia Line,2021-04-10,45,54,45,16,1
Real As It Gets,Lil Baby Featuring EST Gee,2021-04-10,82,69,34,6,1
Forever After All,Luke Combs,2021-04-10,54,61,35,18,1
Back In Blood,Pooh Shiesty Featuring Lil Durk,2021-04-10,20,13,13,16,1
You Broke Me First.,Tate McRae,2021-04-10,21,22,17,18,1
Cry Baby,Megan Thee Stallion Featuring DaBaby,2021-04-10,44,45,28,18,1
How The Game Go,Rod Wave,2021-04-10,88,0,88,1,1
Streets,Doja Cat,2021-04-10,35,27,16,15,1
My Head And My Heart,Ava Max,2021-04-10,57,48,45,11,1
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,2021-04-10,33,40,22,7,1
Positions,Ariana Grande,2021-04-10,25,21,2,18,1
Girl Like Me,Black Eyed Peas X Shakira,2021-04-10,100,89,67,14,1
Street Runner,Rod Wave,2021-04-10,16,32,16,6,1
Don't Forget,Rod Wave,2021-04-10,63,0,63,1,1
What You Know Bout Love,Pop Smoke,2021-04-10,10,9,9,18,1
34+35,Ariana Grande,2021-04-10,14,11,2,18,1
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,2021-04-10,24,23,12,14,1
Blinding Lights,The Weeknd,2021-04-10,8,6,3,17,1
Dakiti,Bad Bunny & Jhay Cortez,2021-04-10,27,28,16,18,1
As I Am,Justin Bieber Featuring Khalid,2021-04-10,72,43,43,3,1
Just The Way,Parmalee x Blanco Brown,2021-04-10,60,46,31,17,1
Willow,Taylor Swift,2021-04-10,59,50,22,18,1
Anyone,Justin Bieber,2021-04-10,36,16,6,16,1
Lady,Brett Young,2021-04-10,52,52,52,15,1
Astronaut In The Ocean,Masked Wolf,2021-04-10,12,17,7,10,1
Starting Over,Chris Stapleton,2021-04-10,41,41,26,18,1
What's Love??,Rod Wave,2021-04-10,94,0,94,1,1
Almost Maybes,Jordan Davis,2021-04-10,91,86,73,13,1
La Noche de Anoche,Bad Bunny & Rosalia,2021-04-10,78,73,58,11,1
Wants And Needs,Drake Featuring Lil Baby,2021-04-10,34,19,2,7,1
Buss It,Erica Banks,2021-04-10,87,72,47,13,1
Monsters,All Time Low Featuring Demi Lovato & blackbear ,2021-04-10,80,70,55,17,1
You Got It,VEDO,2021-04-10,97,88,75,12,1
Momma's House,Dustin Lynch,2021-04-10,62,63,59,15,1
Shock Da World,Rod Wave,2021-04-10,96,0,96,1,1
Damage,H.E.R.,2021-04-17,65,64,44,18,1
What's Next,Drake,2021-04-17,17,13,1,7,1
We're Good,Dua Lipa,2021-04-17,42,48,38,10,1
Tombstone,Rod Wave,2021-04-17,32,11,11,5,1
Drivers License,Olivia Rodrigo,2021-04-17,5,5,1,15,1
Famous Friends,Chris Young + Kane Brown,2021-04-17,89,94,73,4,1
Whoopty,CJ,2021-04-17,48,38,10,16,1
Track Star,Mooski,2021-04-17,36,47,35,9,1
Girl Like Me,Black Eyed Peas X Shakira,2021-04-17,98,100,67,14,1
Glad You Exist,Dan + Shay,2021-04-17,85,92,63,11,1
34+35,Ariana Grande,2021-04-17,15,14,2,18,1
Deja Vu,Olivia Rodrigo,2021-04-17,8,0,8,3,1
4 Da Gang,42 Dugg & Roddy Ricch,2021-04-17,67,0,67,3,1
Dakiti,Bad Bunny & Jhay Cortez,2021-04-17,31,27,16,18,1
Best Friend,Saweetie Featuring Doja Cat,2021-04-17,14,17,14,15,1
Wants And Needs,Drake Featuring Lil Baby,2021-04-17,38,34,2,7,1
Forever After All,Luke Combs,2021-04-17,45,54,35,18,1
Down To One,Luke Bryan,2021-04-17,77,74,36,17,1
Willow,Taylor Swift,2021-04-17,60,59,22,18,1
Cry Baby,Megan Thee Stallion Featuring DaBaby,2021-04-17,40,44,28,18,1
What's Your Country Song,Thomas Rhett,2021-04-17,37,42,29,17,1
Go Crazy,Chris Brown & Young Thug,2021-04-17,16,15,3,18,1
Without You,The Kid LAROI,2021-04-17,30,31,30,18,1
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,2021-04-17,33,37,11,18,1
Up,Cardi B,2021-04-17,4,4,1,11,1
Wasted On You,Morgan Wallen,2021-04-17,80,79,9,15,1
Dancing With The Devil,Demi Lovato,2021-04-17,56,0,56,2,1
Big Purr (Prrdd),Coi Leray & Pooh Shiesty,2021-04-17,82,69,69,3,1
Follow You,Imagine Dragons,2021-04-17,96,83,83,3,1
Drankin N Smokin,Future & Lil Uzi Vert,2021-04-17,94,99,84,10,1
Gone,Dierks Bentley,2021-04-17,97,98,74,6,1
Film Out,BTS,2021-04-17,81,0,81,1,1
What You Know Bout Love,Pop Smoke,2021-04-17,12,10,9,18,1
Hell Of A View,Eric Church,2021-04-17,64,67,41,15,1
Momma's House,Dustin Lynch,2021-04-17,59,62,59,15,1
Long Live,Florida Georgia Line,2021-04-17,54,45,45,16,1
Telepatia,Kali Uchis,2021-04-17,51,53,39,9,1
Hold On,Justin Bieber,2021-04-17,57,46,20,7,1
My Ex's Best Friend,Machine Gun Kelly X blackbear,2021-04-17,28,29,21,18,1
Calling My Phone,Lil Tjay Featuring 6LACK,2021-04-17,11,18,3,10,1
Astronaut In The Ocean,Masked Wolf,2021-04-17,10,12,7,10,1
Streets,Doja Cat,2021-04-17,41,35,16,15,1
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,2021-04-17,25,33,22,7,1
Back In Blood,Pooh Shiesty Featuring Lil Durk,2021-04-17,18,20,13,16,1
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,2021-04-17,19,24,12,14,1
As I Am,Justin Bieber Featuring Khalid,2021-04-17,92,72,43,3,1
Street Runner,Rod Wave,2021-04-17,39,16,16,6,1
Just The Way,Parmalee x Blanco Brown,2021-04-17,52,60,31,17,1
Anyone,Justin Bieber,2021-04-17,53,36,6,16,1
Buss It,Erica Banks,2021-04-17,99,87,47,13,1
Montero (Call Me By Your Name),Lil Nas X,2021-04-17,2,1,1,4,1
La Noche de Anoche,Bad Bunny & Rosalia,2021-04-17,75,78,58,11,1
Somebody Like That,Tenille Arts,2021-04-17,62,66,50,14,1
Body,Megan Thee Stallion,2021-04-17,84,81,16,16,1
Real As It Gets,Lil Baby Featuring EST Gee,2021-04-17,83,82,34,6,1
Richer,Rod Wave Featuring Polo G,2021-04-17,46,22,22,4,1
Quicksand,Morray,2021-04-17,73,83,71,11,1
You Broke Me First.,Tate McRae,2021-04-17,21,21,17,18,1
Lemon Pepper Freestyle,Drake Featuring Rick Ross,2021-04-17,70,70,3,5,1
Mood,24kGoldn Featuring iann dior,2021-04-17,13,9,1,18,1
Almost Maybes,Jordan Davis,2021-04-17,78,91,73,13,1
Put Your Records On,Ritt Momney,2021-04-17,43,43,30,16,1
Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,2021-04-17,90,0,30,3,1
Lady,Brett Young,2021-04-17,58,52,52,15,1
Lil Bit,Nelly & Florida Georgia Line,2021-04-17,93,99,89,5,1
Starting Over,Chris Stapleton,2021-04-17,26,41,26,18,1
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-04-17,1,3,1,7,1
Hello,Pop Smoke Featuring A Boogie Wit da Hoodie,2021-04-17,95,92,84,6,1
Blinding Lights,The Weeknd,2021-04-17,9,8,3,17,1
Breaking Up Was Easy In The 90's,Sam Hunt,2021-04-17,68,73,49,8,1
Heartbreak Anniversary,Giveon,2021-04-17,22,28,20,10,1
Good Days,SZA,2021-04-17,35,40,9,17,1
Run It Up,Lil Tjay Featuring Offset & Moneybagg Yo,2021-04-17,50,0,50,3,1
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2021-04-17,3,2,1,5,1
Made For You,Jake Owen,2021-04-17,66,75,42,9,1
You Got It,VEDO,2021-04-17,87,97,75,12,1
You're Mines Still,Yung Bleu Featuring Drake,2021-04-17,23,23,18,18,1
Masterpiece,DaBaby,2021-04-17,72,77,55,13,1
Hard For The Next,Moneybagg Yo & Future,2021-04-17,76,49,49,2,1
One Too Many,Keith Urban Duet With P!nk,2021-04-17,88,95,72,15,1
Goosebumps,Travis Scott & HVME,2021-04-17,47,56,47,14,1
On Me,Lil Baby,2021-04-17,27,26,23,18,1
Time Today,Moneybagg Yo,2021-04-17,49,58,37,11,1
Met Him Last Night,Demi Lovato Featuring Ariana Grande,2021-04-17,61,0,61,2,1
Headshot,"Lil Tjay, Polo G & Fivio Foreign",2021-04-17,55,68,42,5,1
Nobody,Dylan Scott,2021-04-17,91,99,85,8,1
Therefore I Am,Billie Eilish,2021-04-17,20,19,12,18,1
Levitating,Dua Lipa Featuring DaBaby,2021-04-17,7,7,5,18,1
Save Your Tears,The Weeknd,2021-04-17,6,6,4,17,1
The Business,Tiesto,2021-04-17,74,86,69,9,1
Positions,Ariana Grande,2021-04-17,24,25,2,18,1
Pick Up Your Feelings,Jazmine Sullivan,2021-04-17,79,84,75,13,1
Arcade,Duncan Laurence,2021-04-17,100,0,94,2,1
The Good Ones,Gabby Barrett,2021-04-17,29,32,19,17,1
Settling Down,Miranda Lambert,2021-04-17,71,90,65,6,1
My Head And My Heart,Ava Max,2021-04-17,63,57,45,11,1
Heat Waves,Glass Animals,2021-04-17,44,50,39,14,1
No More Parties,Coi Leray Featuring Lil Durk,2021-04-17,34,39,26,11,1
Monsters,All Time Low Featuring Demi Lovato & blackbear ,2021-04-17,86,80,55,17,1
Hellcats & Trackhawks,Lil Durk,2021-04-17,69,76,69,6,1
Drivers License,Olivia Rodrigo,2021-04-24,9,5,1,15,1
Montero (Call Me By Your Name),Lil Nas X,2021-04-24,2,2,1,4,1
Ruff Ryders' Anthem,DMX,2021-04-24,16,0,16,1,1
Monsters,All Time Low Featuring Demi Lovato & blackbear ,2021-04-24,95,86,55,17,1
Run It Up,Lil Tjay Featuring Offset & Moneybagg Yo,2021-04-24,79,50,50,3,1
What's Next,Drake,2021-04-24,25,17,1,7,1
Richer,Rod Wave Featuring Polo G,2021-04-24,55,46,22,4,1
What You Know Bout Love,Pop Smoke,2021-04-24,14,12,9,18,1
Anyone,Justin Bieber,2021-04-24,70,53,6,16,1
Dakiti,Bad Bunny & Jhay Cortez,2021-04-24,34,31,16,18,1
Tombstone,Rod Wave,2021-04-24,38,32,11,5,1
Rapstar,Polo G,2021-04-24,1,0,1,2,1
On Me,Lil Baby,2021-04-24,33,27,23,18,1
Damage,H.E.R.,2021-04-24,68,65,44,18,1
One Too Many,Keith Urban Duet With P!nk,2021-04-24,96,88,72,15,1
Nobody,Dylan Scott,2021-04-24,91,91,85,8,1
You're Mines Still,Yung Bleu Featuring Drake,2021-04-24,29,23,18,18,1
Party Up (Up In Here),DMX,2021-04-24,40,0,40,1,1
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2021-04-24,4,3,1,5,1
Dancing With The Devil,Demi Lovato,2021-04-24,98,56,56,2,1
No More Parties,Coi Leray Featuring Lil Durk,2021-04-24,37,34,26,11,1
Big Gangsta,Kevin Gates,2021-04-24,81,0,81,2,1
Deja Vu,Olivia Rodrigo,2021-04-24,15,8,8,3,1
Pick Up Your Feelings,Jazmine Sullivan,2021-04-24,86,79,75,13,1
My Head And My Heart,Ava Max,2021-04-24,73,63,45,11,1
Positions,Ariana Grande,2021-04-24,31,24,2,18,1
My Ex's Best Friend,Machine Gun Kelly X blackbear,2021-04-24,28,28,21,18,1
34+35,Ariana Grande,2021-04-24,21,15,2,18,1
Astronaut In The Ocean,Masked Wolf,2021-04-24,10,10,7,10,1
Blinding Lights,The Weeknd,2021-04-24,11,9,3,17,1
Back In Blood,Pooh Shiesty Featuring Lil Durk,2021-04-24,20,18,13,16,1
4 Da Gang,42 Dugg & Roddy Ricch,2021-04-24,84,67,67,3,1
Willow,Taylor Swift,2021-04-24,62,60,22,18,1
What's Your Country Song,Thomas Rhett,2021-04-24,54,37,29,17,1
Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,2021-04-24,30,90,30,3,1
Mood,24kGoldn Featuring iann dior,2021-04-24,18,13,1,18,1
Quicksand,Morray,2021-04-24,85,73,71,11,1
Real As It Gets,Lil Baby Featuring EST Gee,2021-04-24,100,83,34,6,1
Down To One,Luke Bryan,2021-04-24,61,77,36,17,1
Fifteen (Taylor's Version),Taylor Swift,2021-04-24,88,0,88,1,1
Met Him Last Night,Demi Lovato Featuring Ariana Grande,2021-04-24,93,61,61,2,1
Just The Way,Parmalee x Blanco Brown,2021-04-24,57,52,31,17,1
Street Runner,Rod Wave,2021-04-24,53,39,16,6,1
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,2021-04-24,12,19,12,14,1
Streets,Doja Cat,2021-04-24,48,41,16,15,1
Up,Cardi B,2021-04-24,8,4,1,11,1
Hold On,Justin Bieber,2021-04-24,63,57,20,7,1
Telepatia,Kali Uchis,2021-04-24,56,51,39,9,1
Calling My Phone,Lil Tjay Featuring 6LACK,2021-04-24,13,11,3,10,1
Glad You Exist,Dan + Shay,2021-04-24,78,85,63,11,1
Best Friend,Saweetie Featuring Doja Cat,2021-04-24,17,14,14,15,1
The Business,Tiesto,2021-04-24,83,74,69,9,1
Hellcats & Trackhawks,Lil Durk,2021-04-24,77,69,69,6,1
Hell Of A View,Eric Church,2021-04-24,58,64,41,15,1
The Good Ones,Gabby Barrett,2021-04-24,19,29,19,17,1
Go Crazy,Chris Brown & Young Thug,2021-04-24,22,16,3,18,1
You Belong With Me (Taylor's Version),Taylor Swift,2021-04-24,75,0,75,1,1
The Way I Loved You (Taylor's Version),Taylor Swift,2021-04-24,94,0,94,1,1
Heat Waves,Glass Animals,2021-04-24,41,44,39,14,1
You All Over Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Maren Morris,2021-04-24,72,51,51,2,1
Heartbreak Anniversary,Giveon,2021-04-24,26,22,20,10,1
Gone,Dierks Bentley,2021-04-24,99,97,74,6,1
Without You,The Kid LAROI,2021-04-24,32,30,30,18,1
Track Star,Mooski,2021-04-24,35,36,35,9,1
Therefore I Am,Billie Eilish,2021-04-24,24,20,12,18,1
X Gon' Give It To Ya,DMX,2021-04-24,46,0,46,1,1
Headshot,"Lil Tjay, Polo G & Fivio Foreign",2021-04-24,64,55,42,5,1
Goosebumps,Travis Scott & HVME,2021-04-24,50,47,47,14,1
Good Days,SZA,2021-04-24,39,35,9,17,1
Time Today,Moneybagg Yo,2021-04-24,51,49,37,11,1
Momma's House,Dustin Lynch,2021-04-24,69,59,59,15,1
Starting Over,Chris Stapleton,2021-04-24,42,26,26,18,1
Kiss Me More,Doja Cat Featuring SZA,2021-04-24,7,0,7,2,1
La Noche de Anoche,Bad Bunny & Rosalia,2021-04-24,74,75,58,11,1
Masterpiece,DaBaby,2021-04-24,82,72,55,13,1
Made For You,Jake Owen,2021-04-24,43,66,42,9,1
Famous Friends,Chris Young + Kane Brown,2021-04-24,90,89,73,4,1
Love Story (Taylor's Version),Taylor Swift,2021-04-24,52,11,11,2,1
Fearless (Taylor's Version),Taylor Swift,2021-04-24,71,0,71,1,1
We're Good,Dua Lipa,2021-04-24,45,42,38,10,1
Save Your Tears,The Weeknd,2021-04-24,5,6,4,17,1
Settling Down,Miranda Lambert,2021-04-24,76,71,65,6,1
Long Live,Florida Georgia Line,2021-04-24,60,54,45,16,1
Shy Away,twenty one pilots,2021-04-24,87,0,87,1,1
Breaking Up Was Easy In The 90's,Sam Hunt,2021-04-24,67,68,49,8,1
Big Purr (Prrdd),Coi Leray & Pooh Shiesty,2021-04-24,89,82,69,3,1
Lil Bit,Nelly & Florida Georgia Line,2021-04-24,92,93,89,5,1
Wants And Needs,Drake Featuring Lil Baby,2021-04-24,47,38,2,7,1
Wasted On You,Morgan Wallen,2021-04-24,97,80,9,15,1
Levitating,Dua Lipa Featuring DaBaby,2021-04-24,6,7,5,18,1
Forever & Always (Taylor's Version),Taylor Swift,2021-04-24,65,0,65,1,1
Forever After All,Luke Combs,2021-04-24,44,45,35,18,1
Lady,Brett Young,2021-04-24,66,58,52,15,1
Almost Maybes,Jordan Davis,2021-04-24,80,78,73,13,1
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-04-24,3,1,1,7,1
Cry Baby,Megan Thee Stallion Featuring DaBaby,2021-04-24,49,40,28,18,1
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,2021-04-24,36,33,11,18,1
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,2021-04-24,27,25,22,7,1
You Broke Me First.,Tate McRae,2021-04-24,23,21,17,18,1
Somebody Like That,Tenille Arts,2021-04-24,59,62,50,14,1
Breaking Up Was Easy In The 90's,Sam Hunt,2021-05-01,49,67,49,8,1
Came And Saw,Young Thug Featuring Rowdy Rebel,2021-05-01,66,0,66,1,1
You Got It,VEDO,2021-05-01,95,87,75,12,1
Willow,Taylor Swift,2021-05-01,60,62,22,18,1
You're Mines Still,Yung Bleu Featuring Drake,2021-05-01,34,29,18,18,1
Calling My Phone,Lil Tjay Featuring 6LACK,2021-05-01,16,13,3,10,1
Without You,The Kid LAROI,2021-05-01,31,32,30,18,1
You Broke Me First.,Tate McRae,2021-05-01,25,23,17,18,1
Cry Baby,Megan Thee Stallion Featuring DaBaby,2021-05-01,55,49,28,18,1
Blinding Lights,The Weeknd,2021-05-01,13,11,3,17,1
Dakiti,Bad Bunny & Jhay Cortez,2021-05-01,29,34,16,18,1
Chasing After You,Ryan Hurd With Maren Morris,2021-05-01,91,0,91,1,1
On Me,Lil Baby,2021-05-01,32,33,23,18,1
Big Gangsta,Kevin Gates,2021-05-01,87,81,81,2,1
Momma's House,Dustin Lynch,2021-05-01,85,69,59,15,1
Masterpiece,DaBaby,2021-05-01,80,82,55,13,1
Made For You,Jake Owen,2021-05-01,42,43,42,9,1
Save Your Tears,The Weeknd,2021-05-01,6,5,4,17,1
Settling Down,Miranda Lambert,2021-05-01,65,76,65,6,1
Long Live,Florida Georgia Line,2021-05-01,82,60,45,16,1
Ski,Young Thug & Gunna,2021-05-01,18,0,18,1,1
Slatty,Young Thug & Gunna Featuring Yak Gotti & Lil Duke,2021-05-01,99,0,99,1,1
Run It Up,Lil Tjay Featuring Offset & Moneybagg Yo,2021-05-01,93,79,50,3,1
Lil Bit,Nelly & Florida Georgia Line,2021-05-01,89,92,89,5,1
Solid,Young Thug & Gunna Featuring Drake,2021-05-01,12,0,12,1,1
Somebody Like That,Tenille Arts,2021-05-01,50,59,50,14,1
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-05-01,2,3,1,7,1
Almost Maybes,Jordan Davis,2021-05-01,76,80,73,13,1
Lady,Brett Young,2021-05-01,70,66,52,15,1
La Noche de Anoche,Bad Bunny & Rosalia,2021-05-01,64,74,58,11,1
Starting Over,Chris Stapleton,2021-05-01,45,42,26,18,1
Kiss Me More,Doja Cat Featuring SZA,2021-05-01,8,7,7,2,1
Levitating,Dua Lipa Featuring DaBaby,2021-05-01,5,6,5,18,1
Just The Way,Parmalee x Blanco Brown,2021-05-01,58,57,31,17,1
Anyone,Justin Bieber,2021-05-01,68,70,6,16,1
Monsters,All Time Low Featuring Demi Lovato & blackbear ,2021-05-01,98,95,55,17,1
One Too Many,Keith Urban Duet With P!nk,2021-05-01,72,96,72,15,1
Nobody,Dylan Scott,2021-05-01,86,91,85,8,1
Paid The Fine,Young Thug & Gunna Featuring Lil Baby & YTB Trench,2021-05-01,77,0,77,1,1
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2021-05-01,3,4,1,5,1
No More Parties,Coi Leray Featuring Lil Durk,2021-05-01,43,37,26,11,1
Pick Up Your Feelings,Jazmine Sullivan,2021-05-01,88,86,75,13,1
My Head And My Heart,Ava Max,2021-05-01,75,73,45,11,1
Positions,Ariana Grande,2021-05-01,33,31,2,18,1
Arcade,Duncan Laurence,2021-05-01,94,100,94,2,1
My Ex's Best Friend,Machine Gun Kelly X blackbear,2021-05-01,27,28,21,18,1
Proud Of You,Young Thug Featuring Lil Uzi Vert & Yung Kayo,2021-05-01,59,0,59,1,1
Back In Blood,Pooh Shiesty Featuring Lil Durk,2021-05-01,23,20,13,16,1
Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,2021-05-01,90,30,30,3,1
Mood,24kGoldn Featuring iann dior,2021-05-01,19,18,1,18,1
Quicksand,Morray,2021-05-01,71,85,71,11,1
Rapstar,Polo G,2021-05-01,1,1,1,2,1
Montero (Call Me By Your Name),Lil Nas X,2021-05-01,4,2,1,4,1
Richer,Rod Wave Featuring Polo G,2021-05-01,62,55,22,4,1
Astronaut In The Ocean,Masked Wolf,2021-05-01,7,10,7,10,1
Damage,H.E.R.,2021-05-01,61,68,44,18,1
Street Runner,Rod Wave,2021-05-01,57,53,16,6,1
Streets,Doja Cat,2021-05-01,51,48,16,15,1
Forever After All,Luke Combs,2021-05-01,35,44,35,18,1
Best Friend,Saweetie Featuring Doja Cat,2021-05-01,15,17,14,15,1
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,2021-05-01,40,36,11,18,1
Wasted On You,Morgan Wallen,2021-05-01,92,97,9,15,1
Follow You,Imagine Dragons,2021-05-01,84,96,83,3,1
We're Good,Dua Lipa,2021-05-01,38,45,38,10,1
Famous Friends,Chris Young + Kane Brown,2021-05-01,73,90,73,4,1
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,2021-05-01,79,90,79,2,1
Wants And Needs,Drake Featuring Lil Baby,2021-05-01,36,47,2,7,1
Drivers License,Olivia Rodrigo,2021-05-01,10,9,1,15,1
What's Next,Drake,2021-05-01,28,25,1,7,1
Drankin N Smokin,Future & Lil Uzi Vert,2021-05-01,97,94,84,10,1
Down To One,Luke Bryan,2021-05-01,69,61,36,17,1
What's Your Country Song,Thomas Rhett,2021-05-01,52,54,29,17,1
4 Da Gang,42 Dugg & Roddy Ricch,2021-05-01,100,84,67,3,1
34+35,Ariana Grande,2021-05-01,26,21,2,18,1
Diamonds Dancing,Young Thug & Gunna Featuring Travis Scott,2021-05-01,46,0,46,1,1
Deja Vu,Olivia Rodrigo,2021-05-01,11,15,8,3,1
What You Know Bout Love,Pop Smoke,2021-05-01,17,14,9,18,1
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,2021-05-01,14,12,12,14,1
Up,Cardi B,2021-05-01,9,8,1,11,1
Go Crazy,Chris Brown & Young Thug,2021-05-01,24,22,3,18,1
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,2021-05-01,22,27,22,7,1
Hold On,Justin Bieber,2021-05-01,56,63,20,7,1
Telepatia,Kali Uchis,2021-05-01,54,56,39,9,1
Hellcats & Trackhawks,Lil Durk,2021-05-01,83,77,69,6,1
The Business,Tiesto,2021-05-01,78,83,69,9,1
Hell Of A View,Eric Church,2021-05-01,41,58,41,15,1
Heat Waves,Glass Animals,2021-05-01,39,41,39,14,1
The Good Ones,Gabby Barrett,2021-05-01,21,19,19,17,1
Glad You Exist,Dan + Shay,2021-05-01,63,78,63,11,1
Heartbreak Anniversary,Giveon,2021-05-01,20,26,20,10,1
Headshot,"Lil Tjay, Polo G & Fivio Foreign",2021-05-01,67,64,42,5,1
Goosebumps,Travis Scott & HVME,2021-05-01,47,50,47,14,1
Good Days,SZA,2021-05-01,44,39,9,17,1
Time Today,Moneybagg Yo,2021-05-01,53,51,37,11,1
Tombstone,Rod Wave,2021-05-01,48,38,11,5,1
Gone,Dierks Bentley,2021-05-01,74,99,74,6,1
Track Star,Mooski,2021-05-01,37,35,35,9,1
Go!,Moneybagg Yo Featuring BIG30,2021-05-01,96,0,96,1,1
Therefore I Am,Billie Eilish,2021-05-01,30,24,12,18,1
pov,Ariana Grande,2021-05-01,81,0,81,1,1
