song,performer,date,chart_position,previous_position,peak,weeks_on_chart,hitTF,id,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
On Me,Lil Baby,2021-05-01,32,33,23,18,1,4Iedi94TIaB2GGb1nMB68v,spotify:track:4Iedi94TIaB2GGb1nMB68v,0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972,135960,4
Party Up (Up In Here),DMX,2021-04-24,40,0,40,1,1,4AIHPdr6x3qNbxTR8ngWdQ,spotify:track:4AIHPdr6x3qNbxTR8ngWdQ,0.554,0.941,11,-2.68,1,0.339,0.065,0.0,0.19,0.409,100.801,228400,4
Pick Up Your Feelings,Jazmine Sullivan,2021-05-01,88,86,75,13,1,2JLVZYEMmqPWbUoAJAMKfm,spotify:track:2JLVZYEMmqPWbUoAJAMKfm,0.729,0.414,7,-6.138,0,0.0565,0.291,0.0,0.0793,0.565,85.729,232096,3
Pills & Billz,Rod Wave,2021-04-10,85,0,85,1,1,7BG9FMjUVSCbVSCqP4drUU,spotify:track:7BG9FMjUVSCbVSCqP4drUU,0.725,0.548,5,-9.406,1,0.23,0.162,0.0,0.182,0.696,160.858,155031,4
Pretty Heart,Parker McCollum,2021-01-16,37,40,37,2,1,6vC90OOjZR165Hw8CpsqEm,spotify:track:6vC90OOjZR165Hw8CpsqEm,0.562,0.683,7,-4.427,1,0.0296,0.00531,0.0,0.107,0.385,132.003,244798,4
Put Your Records On,Ritt Momney,2021-04-17,43,43,30,16,1,6AGOKlMZWLCaEJGnaROtF9,spotify:track:6AGOKlMZWLCaEJGnaROtF9,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,210463,4
Quicksand,Morray,2021-05-01,71,85,71,11,1,4iCZ6Cr76For1TuHUQ90r8,spotify:track:4iCZ6Cr76For1TuHUQ90r8,0.901,0.656,4,-7.452,0,0.277,0.0807,0.0,0.181,0.599,119.956,224933,4
Redman,Lil Durk,2021-01-09,71,0,71,1,1,6ryWmFIfWRxIuqmUPtKIDh,spotify:track:6ryWmFIfWRxIuqmUPtKIDh,0.74,0.511,9,-10.507,0,0.262,0.481,0.0,0.12,0.841,160.017,95915,4
Refugee,Lil Durk,2021-01-09,86,0,86,1,1,0h5j92ZxFHprrZjRVwI5Uu,spotify:track:0h5j92ZxFHprrZjRVwI5Uu,0.857,0.355,1,-10.142,1,0.28,0.4,0.0,0.12,0.502,150.021,116800,4
Rockin' Around The Christmas Tree,Brenda Lee,2021-01-09,12,61,2,3,1,2EjXfH91m7f8HiJN1yQg97,spotify:track:2EjXfH91m7f8HiJN1yQg97,0.589,0.472,8,-8.749,1,0.0502,0.614,0.0,0.505,0.898,67.196,126267,4
Ruff Ryders' Anthem,DMX,2021-04-24,16,0,16,1,1,1BKT2I9x4RGKaKqW4up34s,spotify:track:1BKT2I9x4RGKaKqW4up34s,0.88,0.577,10,-8.093,0,0.302,0.0564,1.02e-06,0.201,0.74,90.991,214440,4
Sand In My Boots,Morgan Wallen,2021-04-03,96,80,32,11,1,0uRrG2jRR5tuifsYIJHEao,spotify:track:0uRrG2jRR5tuifsYIJHEao,0.403,0.537,3,-6.628,1,0.031,0.59,0.0,0.112,0.414,69.877,202133,4
Santa Tell Me,Ariana Grande,2021-01-02,17,32,17,1,1,0lizgQ7Qw35od7CYaoMBZb,spotify:track:0lizgQ7Qw35od7CYaoMBZb,0.525,0.621,7,-7.364,1,0.116,0.0489,0.0,0.294,0.591,191.9,204093,4
Save Your Tears,The Weeknd,2021-05-01,6,5,4,17,1,5QO79kh1waicV47BqGRL3g,spotify:track:5QO79kh1waicV47BqGRL3g,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627,4
Settling Down,Miranda Lambert,2021-05-01,65,76,65,6,1,53bZYxVbCYm6w1Gx8U64bz,spotify:track:53bZYxVbCYm6w1Gx8U64bz,0.643,0.756,6,-5.8,0,0.0305,0.0215,0.000268,0.101,0.934,90.001,197453,4
Shock Da World,Rod Wave,2021-04-10,96,0,96,1,1,1Thr5Yh8gHXeCSOpi2icWv,spotify:track:1Thr5Yh8gHXeCSOpi2icWv,0.693,0.53,1,-10.27,1,0.14,0.0213,2.18e-06,0.109,0.535,81.963,204171,4
Skin,Sabrina Carpenter,2021-02-20,99,89,48,3,1,03B2SfXuvDh1m9F4tqrX07,spotify:track:03B2SfXuvDh1m9F4tqrX07,0.557,0.457,7,-5.372,1,0.0335,0.428,0.0,0.0567,0.328,105.918,177500,4
Slay3r,Playboi Carti,2021-01-09,72,0,72,1,1,1eMNW1HQjF1dbb4GtnmpaX,spotify:track:1eMNW1HQjF1dbb4GtnmpaX,0.885,0.661,4,-5.062,0,0.141,0.165,0.0,0.334,0.436,140.028,164591,4
Sleigh Ride,The Ronettes,2021-01-02,13,19,13,1,1,5ASM6Qjiav2xPe7gRkQMsQ,spotify:track:5ASM6Qjiav2xPe7gRkQMsQ,0.529,0.772,2,-7.013,1,0.0287,0.403,2.21e-06,0.316,0.853,91.751,181267,4
Sneaky Links,Rod Wave,2021-04-10,98,0,98,1,1,1y5vxuMfT7g0b06wKAqbyH,spotify:track:1y5vxuMfT7g0b06wKAqbyH,0.676,0.561,0,-8.947,0,0.069,0.471,0.0,0.0829,0.587,148.93,178792,4
Some Girls,Jameson Rodgers,2021-01-16,85,0,85,1,1,54eUv9Q3D9MZuOGS5PSflp,spotify:track:54eUv9Q3D9MZuOGS5PSflp,0.429,0.831,8,-5.108,1,0.0473,0.0781,0.0,0.312,0.348,167.984,184893,4
Somebody Like That,Tenille Arts,2021-05-01,50,59,50,14,1,3hboOw4dS0aXGuP0fyyvbC,spotify:track:3hboOw4dS0aXGuP0fyyvbC,0.574,0.798,6,-5.356,1,0.0485,0.0152,0.0,0.111,0.58,105.034,198209,4
SoulFly,Rod Wave,2021-04-10,55,0,55,1,1,31IfCad1R5g6xqsfdrKwnE,spotify:track:31IfCad1R5g6xqsfdrKwnE,0.498,0.517,6,-11.403,0,0.262,0.211,0.0,0.339,0.405,109.716,188969,5
Starting Over,Chris Stapleton,2021-05-01,45,42,26,18,1,3TNSVsiFngfe68UJpMq1oS,spotify:track:3TNSVsiFngfe68UJpMq1oS,0.638,0.538,10,-8.445,1,0.0315,0.452,0.000415,0.0695,0.318,89.124,240413,4
Still Goin Down,Morgan Wallen,2021-02-20,94,76,45,6,1,096YtKWNRXdmYKFLelSBto,spotify:track:096YtKWNRXdmYKFLelSBto,0.58,0.751,7,-5.078,1,0.0267,0.49,0.0,0.277,0.718,148.108,186293,4
Street Runner,Rod Wave,2021-05-01,57,53,16,6,1,45kgqMRkC29qjBlzeaJcad,spotify:track:45kgqMRkC29qjBlzeaJcad,0.613,0.61,5,-8.633,0,0.246,0.211,0.000361,0.152,0.433,160.004,252021,4
Streets,Doja Cat,2021-05-01,51,48,16,15,1,60ynsPSSKe6O3sfwRnIBRf,spotify:track:60ynsPSSKe6O3sfwRnIBRf,0.749,0.463,11,-8.433,1,0.0828,0.208,0.0371,0.337,0.19,90.028,226987,4
Take Me Home For Christmas,Dan + Shay,2021-01-09,89,48,48,2,1,72HP2M4jjw4t0AIGdEVGEF,spotify:track:72HP2M4jjw4t0AIGdEVGEF,0.694,0.769,6,-4.665,1,0.0325,0.163,0.0,0.0976,0.663,93.033,203880,4
Take You Dancing,Jason Derulo,2021-02-06,78,78,57,5,1,59qrUpoplZxbIZxk6X0Bm3,spotify:track:59qrUpoplZxbIZxk6X0Bm3,0.789,0.711,2,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,190306,4
Tequila Shots,Kid Cudi,2021-01-02,86,41,86,1,1,30KctD1WsHKTIYczXjip5a,spotify:track:30KctD1WsHKTIYczXjip5a,0.712,0.556,5,-7.214,0,0.0531,0.084,5.04e-05,0.527,0.22,90.494,193293,4
The Christmas Song (Merry Christmas To You),Nat King Cole,2021-01-09,44,11,11,2,1,4PS1e8f2LvuTFgUs1Cn3ON,spotify:track:4PS1e8f2LvuTFgUs1Cn3ON,0.319,0.21,1,-15.231,1,0.0341,0.92,8.06e-05,0.138,0.209,78.696,192160,4
The First Noel,Gabby Barrett,2021-01-02,78,0,78,1,1,25W3eewfp10geV3fzWIGq3,spotify:track:25W3eewfp10geV3fzWIGq3,0.458,0.351,10,-6.049,1,0.0244,0.696,0.0,0.143,0.102,79.993,261305,3
The Good Ones,Gabby Barrett,2021-05-01,21,19,19,17,1,3hLuHKzG1cmlRpq53ZVWd8,spotify:track:3hLuHKzG1cmlRpq53ZVWd8,0.519,0.552,2,-5.023,1,0.0259,0.18,0.0,0.149,0.331,89.957,215141,4
Therefore I Am,Billie Eilish,2021-05-01,30,24,12,18,1,54bFM56PmE4YLRnqpW6Tha,spotify:track:54bFM56PmE4YLRnqpW6Tha,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,174321,4
This Bar,Morgan Wallen,2021-01-23,92,0,92,1,1,075qcpR3BnxD5CWUIx1HTr,spotify:track:075qcpR3BnxD5CWUIx1HTr,0.553,0.884,2,-5.306,1,0.0771,0.0921,0.00033,0.0463,0.248,110.074,185280,4
This Christmas,Donny Hathaway,2021-01-02,39,0,39,1,1,38xhBO2AKrJnjdjVnhJES6,spotify:track:38xhBO2AKrJnjdjVnhJES6,0.634,0.645,5,-9.2,1,0.0376,0.292,0.0,0.246,0.677,93.047,231173,4
Throat Baby (Go Baby),BRS Kash,2021-03-27,50,46,24,13,1,31iqpzg1ZXLLgq0L5iIwLe,spotify:track:31iqpzg1ZXLLgq0L5iIwLe,0.9,0.521,4,-7.286,0,0.147,0.0135,0.0,0.0951,0.213,132.007,218182,4
Time Today,Moneybagg Yo,2021-05-01,53,51,37,11,1,0YrKSfpvflYnLSBd4Jtu6J,spotify:track:0YrKSfpvflYnLSBd4Jtu6J,0.912,0.608,1,-7.686,1,0.397,0.0458,0.0,0.248,0.327,136.994,136900,4
Tombstone,Rod Wave,2021-05-01,48,38,11,5,1,5pRTz4O2qOkr5nawemy6Wb,spotify:track:5pRTz4O2qOkr5nawemy6Wb,0.55,0.637,8,-5.212,1,0.163,0.597,0.0,0.129,0.535,84.448,160078,4
Took Her To The O,King Von,2021-01-16,86,94,86,3,1,7fEoXCZTZFosUFvFQg1BmW,spotify:track:7fEoXCZTZFosUFvFQg1BmW,0.82,0.592,1,-7.002,1,0.29,0.0149,4.71e-06,0.121,0.4,159.98,196180,4
Track Star,Mooski,2021-05-01,37,35,35,9,1,5hChuUMe5iHfjkXgzj1D4b,spotify:track:5hChuUMe5iHfjkXgzj1D4b,0.641,0.598,7,-5.7,0,0.324,0.381,0.0,0.0921,0.285,131.459,199706,5
Tyler Herro,Jack Harlow,2021-03-20,94,78,61,12,1,4DuUwzP4ALMqpquHU0ltAB,spotify:track:4DuUwzP4ALMqpquHU0ltAB,0.794,0.756,5,-7.16,0,0.136,0.11,0.0,0.247,0.775,123.066,156498,4
Up,Cardi B,2021-05-01,9,8,1,11,1,1XXimziG1uhM0eDNCZCrUl,spotify:track:1XXimziG1uhM0eDNCZCrUl,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166.0,156945,4
Vamp Anthem,Playboi Carti,2021-01-09,90,0,90,1,1,4CzhtKifG867Lu5DNQVBSA,spotify:track:4CzhtKifG867Lu5DNQVBSA,0.642,0.69,11,-5.101,1,0.261,0.00599,1.3e-06,0.322,0.641,164.075,124094,4
Warning,Morgan Wallen,2021-02-20,93,79,42,5,1,64SCQtbRtmO28ks1QhS3w5,spotify:track:64SCQtbRtmO28ks1QhS3w5,0.633,0.664,10,-5.037,1,0.0294,0.46,0.0,0.108,0.268,115.058,156747,4
Wasted On You,Morgan Wallen,2021-05-01,92,97,9,15,1,3cBsEDNhFI9E82vPj3kvi3,spotify:track:3cBsEDNhFI9E82vPj3kvi3,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,178520,3
Watermelon Sugar,Harry Styles,2021-01-16,42,47,42,2,1,6UelLqGlWMcVH1E5c4H7lY,spotify:track:6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4
We're Good,Dua Lipa,2021-05-01,38,45,38,10,1,1diS6nkxMQc3wwC4G1j0bh,spotify:track:1diS6nkxMQc3wwC4G1j0bh,0.722,0.588,6,-5.932,1,0.0544,0.0319,0.0,0.183,0.59,134.01,165507,4
What You Know Bout Love,Pop Smoke,2021-05-01,17,14,9,18,1,1tkg4EHVoqnhR6iFEXb60y,spotify:track:1tkg4EHVoqnhR6iFEXb60y,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000,4
What's Love??,Rod Wave,2021-04-10,94,0,94,1,1,1snCyfUEoAFGMRzeGrwdio,spotify:track:1snCyfUEoAFGMRzeGrwdio,0.492,0.359,8,-12.047,0,0.187,0.819,0.0,0.0962,0.649,153.738,178854,3
What's Next,Drake,2021-05-01,28,25,1,7,1,3mDFLytDotXo2p0rvfGbkA,spotify:track:3mDFLytDotXo2p0rvfGbkA,0.777,0.58,0,-6.928,0,0.0525,0.0125,0.0,0.161,0.0636,129.918,178154,4
White Christmas,Bing Crosby,2021-01-02,20,38,20,1,1,4so0Wek9Ig1p6CRCHuINwW,spotify:track:4so0Wek9Ig1p6CRCHuINwW,0.317,0.158,9,-16.485,1,0.0381,0.673,0.353,0.338,0.247,130.503,177480,3
Whoopty,CJ,2021-04-17,48,38,10,16,1,5vGLcdRuSbUhD8ScwsGSdA,spotify:track:5vGLcdRuSbUhD8ScwsGSdA,0.719,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201,123263,4
Wonder,Shawn Mendes,2021-01-16,91,0,91,1,1,5KCbr5ndeby4y4ggthdiAb,spotify:track:5KCbr5ndeby4y4ggthdiAb,0.333,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,172693,4
X Gon' Give It To Ya,DMX,2021-04-24,46,0,46,1,1,1zzxoZVylsna2BQB65Ppcb,spotify:track:1zzxoZVylsna2BQB65Ppcb,0.761,0.899,10,-3.09,0,0.183,0.0135,0.0,0.0719,0.673,95.027,217587,4
"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,2021-01-02,32,0,32,1,1,4qP2V09IpTct5A1ZSnr1zh,spotify:track:4qP2V09IpTct5A1ZSnr1zh,0.517,0.484,2,-10.93,0,0.318,0.952,0.0075,0.129,0.42,141.914,315707,3
Your Bartender,Morgan Wallen,2021-01-23,84,0,84,1,1,01FvQEvHETjWqcDpQDJdTb,spotify:track:01FvQEvHETjWqcDpQDJdTb,0.555,0.771,4,-5.237,1,0.0282,0.247,7.26e-05,0.149,0.442,139.971,185093,4
pov,Ariana Grande,2021-05-01,81,0,81,1,1,3UoULw70kMsiVXxW0L3A33,spotify:track:3UoULw70kMsiVXxW0L3A33,0.487,0.534,0,-5.664,0,0.0555,0.36,0.0,0.1,0.173,131.798,201882,4
