,song,performer,date,chart_position,previous_position,peak,weeks_on_chart,instance,songID,url
57,Never Recover,Lil Baby & Gunna Featuring Drake,2018-10-20,15,0,15,1,1,Never RecoverLil Baby & Gunna Featuring Drake,https://www.billboard.com/charts/hot-100/2018-10-20
58,Nightmare,Halsey,2019-06-01,15,0,15,1,1,NightmareHalsey,https://www.billboard.com/charts/hot-100/2019-06-01
59,Never Really Over,Katy Perry,2019-06-15,15,0,15,1,1,Never Really OverKaty Perry,https://www.billboard.com/charts/hot-100/2019-06-15
60,Hollywood's Bleeding,Post Malone,2019-09-21,15,0,15,1,1,Hollywood's BleedingPost Malone,https://www.billboard.com/charts/hot-100/2019-09-21
61,Lose You To Love Me,Selena Gomez,2019-11-02,15,0,15,1,1,Lose You To Love MeSelena Gomez,https://www.billboard.com/charts/hot-100/2019-11-02
62,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2018-12-01,22,15,11,8,1,"Taki TakiDJ Snake Featuring Selena Gomez, Ozuna & Cardi B",https://www.billboard.com/charts/hot-100/2018-12-01
63,Shallow,Lady Gaga & Bradley Cooper,2018-12-01,23,24,5,8,1,ShallowLady Gaga & Bradley Cooper,https://www.billboard.com/charts/hot-100/2018-12-01
64,Better Now,Post Malone,2018-06-30,23,20,7,8,1,Better NowPost Malone,https://www.billboard.com/charts/hot-100/2018-06-30
65,Bartier Cardi,Cardi B Featuring 21 Savage,2018-02-24,23,20,14,8,1,Bartier CardiCardi B Featuring 21 Savage,https://www.billboard.com/charts/hot-100/2018-02-24
66,"Thank U, Next",Ariana Grande,2018-11-17,1,0,1,1,1,"Thank U, NextAriana Grande",https://www.billboard.com/charts/hot-100/2018-11-17
67,7 Rings,Ariana Grande,2019-02-02,1,0,1,1,1,7 RingsAriana Grande,https://www.billboard.com/charts/hot-100/2019-02-02
68,Sucker,Jonas Brothers,2019-03-16,1,0,1,1,1,SuckerJonas Brothers,https://www.billboard.com/charts/hot-100/2019-03-16
69,Psycho,Post Malone Featuring Ty Dolla $ign,2018-03-10,2,0,2,1,1,PsychoPost Malone Featuring Ty Dolla $ign,https://www.billboard.com/charts/hot-100/2018-03-10
70,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019-02-23,2,0,2,1,1,"Break Up With Your Girlfriend, I'm BoredAriana Grande",https://www.billboard.com/charts/hot-100/2019-02-23
71,Senorita,Shawn Mendes & Camila Cabello,2019-07-06,2,0,2,1,1,SenoritaShawn Mendes & Camila Cabello,https://www.billboard.com/charts/hot-100/2019-07-06
72,Call Out My Name,The Weeknd,2018-04-14,4,0,4,1,1,Call Out My NameThe Weeknd,https://www.billboard.com/charts/hot-100/2018-04-14
73,Sicko Mode,Travis Scott,2018-08-18,4,0,4,1,1,Sicko ModeTravis Scott,https://www.billboard.com/charts/hot-100/2018-08-18
74,"10,000 Hours",Dan + Shay & Justin Bieber,2019-10-19,4,0,4,1,1,"10,000 HoursDan + Shay & Justin Bieber",https://www.billboard.com/charts/hot-100/2019-10-19
75,Don't Cry,Lil Wayne Featuring XXXTENTACION,2018-10-13,5,0,5,1,1,Don't CryLil Wayne Featuring XXXTENTACION,https://www.billboard.com/charts/hot-100/2018-10-13
76,Please Me,Cardi B & Bruno Mars,2019-03-02,5,0,5,1,1,Please MeCardi B & Bruno Mars,https://www.billboard.com/charts/hot-100/2019-03-02
77,ATM,J. Cole,2018-05-05,6,0,6,1,1,ATMJ. Cole,https://www.billboard.com/charts/hot-100/2018-05-05
78,Diplomatic Immunity,Drake,2018-02-03,7,0,7,1,1,Diplomatic ImmunityDrake,https://www.billboard.com/charts/hot-100/2018-02-03
79,Pray For Me,The Weeknd & Kendrick Lamar,2018-02-17,7,0,7,1,1,Pray For MeThe Weeknd & Kendrick Lamar,https://www.billboard.com/charts/hot-100/2018-02-17
80,Better Now,Post Malone,2018-05-12,7,0,7,1,1,Better NowPost Malone,https://www.billboard.com/charts/hot-100/2018-05-12
81,Bad Guy,Billie Eilish,2019-04-13,7,0,7,1,1,Bad GuyBillie Eilish,https://www.billboard.com/charts/hot-100/2019-04-13
82,Circles,Post Malone,2019-09-14,7,0,7,1,1,CirclesPost Malone,https://www.billboard.com/charts/hot-100/2019-09-14
83,Stargazing,Travis Scott,2018-08-18,8,0,8,1,1,StargazingTravis Scott,https://www.billboard.com/charts/hot-100/2018-08-18
84,Boy With Luv,BTS Featuring Halsey,2019-04-27,8,0,8,1,1,Boy With LuvBTS Featuring Halsey,https://www.billboard.com/charts/hot-100/2019-04-27
85,Boyfriend,Ariana Grande & Social House,2019-08-17,8,0,8,1,1,BoyfriendAriana Grande & Social House,https://www.billboard.com/charts/hot-100/2019-08-17
86,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,2019-09-21,8,0,8,1,1,Take What You WantPost Malone Featuring Ozzy Osbourne & Travis Scott,https://www.billboard.com/charts/hot-100/2019-09-21
87,Say Something,Justin Timberlake Featuring Chris Stapleton,2018-02-10,9,0,9,1,1,Say SomethingJustin Timberlake Featuring Chris Stapleton,https://www.billboard.com/charts/hot-100/2018-02-10
88,Don't Matter To Me,Drake Featuring Michael Jackson,2018-07-14,9,0,9,1,1,Don't Matter To MeDrake Featuring Michael Jackson,https://www.billboard.com/charts/hot-100/2018-07-14
89,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2018-11-03,9,0,9,1,1,Sunflower (Spider-Man: Into The Spider-Verse)Post Malone & Swae Lee,https://www.billboard.com/charts/hot-100/2018-11-03
90,Paranoid,Post Malone,2018-05-12,11,0,11,1,1,ParanoidPost Malone,https://www.billboard.com/charts/hot-100/2018-05-12
91,All Mine,Kanye West,2018-06-16,11,0,11,1,1,All MineKanye West,https://www.billboard.com/charts/hot-100/2018-06-16
92,Bandit,Juice WRLD & YoungBoy Never Broke Again,2019-10-19,11,0,11,1,1,BanditJuice WRLD & YoungBoy Never Broke Again,https://www.billboard.com/charts/hot-100/2019-10-19
93,Blinding Lights,The Weeknd,2019-12-14,11,0,11,1,1,Blinding LightsThe Weeknd,https://www.billboard.com/charts/hot-100/2019-12-14
94,Apes**t,The Carters,2018-06-30,13,0,13,1,1,Apes**tThe Carters,https://www.billboard.com/charts/hot-100/2018-06-30
95,Rap Devil,Machine Gun Kelly,2018-09-22,13,0,13,1,1,Rap DevilMachine Gun Kelly,https://www.billboard.com/charts/hot-100/2018-09-22
96,Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey",2019-09-28,13,0,13,1,1,"Don't Call Me Angel (Charlie's Angels)Ariana Grande, Miley Cyrus & Lana Del Rey",https://www.billboard.com/charts/hot-100/2019-09-28
97,Bartier Cardi,Cardi B Featuring 21 Savage,2018-01-06,14,0,14,1,1,Bartier CardiCardi B Featuring 21 Savage,https://www.billboard.com/charts/hot-100/2018-01-06
98,Photograph,J. Cole,2018-05-05,14,0,14,1,1,PhotographJ. Cole,https://www.billboard.com/charts/hot-100/2018-05-05
99,Rich & Sad,Post Malone,2018-05-12,14,0,14,1,1,Rich & SadPost Malone,https://www.billboard.com/charts/hot-100/2018-05-12
100,Dedicate,Lil Wayne,2018-10-13,14,0,14,1,1,DedicateLil Wayne,https://www.billboard.com/charts/hot-100/2018-10-13
101,Spoil My Night,Post Malone Featuring Swae Lee,2018-05-12,15,0,15,1,1,Spoil My NightPost Malone Featuring Swae Lee,https://www.billboard.com/charts/hot-100/2018-05-12
102,Plug Walk,Rich The Kid,2018-04-14,13,18,13,8,1,Plug WalkRich The Kid,https://www.billboard.com/charts/hot-100/2018-04-14
103,Taste,Tyga Featuring Offset,2018-07-28,13,18,13,8,1,TasteTyga Featuring Offset,https://www.billboard.com/charts/hot-100/2018-07-28
104,Suge,DaBaby,2019-06-01,14,16,14,8,1,SugeDaBaby,https://www.billboard.com/charts/hot-100/2019-06-01
105,A Lot,21 Savage,2019-02-23,15,12,12,8,1,A Lot21 Savage,https://www.billboard.com/charts/hot-100/2019-02-23
106,Be Careful,Cardi B,2018-06-02,16,23,11,8,1,Be CarefulCardi B,https://www.billboard.com/charts/hot-100/2018-06-02
107,I Am Who They Say I Am,YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo,2018-09-08,69,0,69,1,1,I Am Who They Say I AmYoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo,https://www.billboard.com/charts/hot-100/2018-09-08
108,Nights Like This,Kehlani Featuring Ty Dolla $ign,2019-01-26,69,0,69,1,1,Nights Like ThisKehlani Featuring Ty Dolla $ign,https://www.billboard.com/charts/hot-100/2019-01-26
109,Japan,Famous Dex,2018-04-07,70,0,70,1,1,JapanFamous Dex,https://www.billboard.com/charts/hot-100/2018-04-07
110,Hurt Feelings,Mac Miller,2018-09-22,70,0,70,1,1,Hurt FeelingsMac Miller,https://www.billboard.com/charts/hot-100/2018-09-22
111,Monopoly,Ariana Grande & Victoria Monet,2019-04-13,70,0,70,1,1,MonopolyAriana Grande & Victoria Monet,https://www.billboard.com/charts/hot-100/2019-04-13
112,New Magic Wand,"Tyler, The Creator",2019-06-01,70,0,70,1,1,"New Magic WandTyler, The Creator",https://www.billboard.com/charts/hot-100/2019-06-01
113,It All Comes Out In The Wash,Miranda Lambert,2019-11-16,70,0,70,1,1,It All Comes Out In The WashMiranda Lambert,https://www.billboard.com/charts/hot-100/2019-11-16
114,Kiss Somebody,Morgan Evans,2018-07-14,76,0,76,1,1,Kiss SomebodyMorgan Evans,https://www.billboard.com/charts/hot-100/2018-07-14
115,Mood Swings,A Boogie Wit da Hoodie,2019-09-28,76,0,76,1,1,Mood SwingsA Boogie Wit da Hoodie,https://www.billboard.com/charts/hot-100/2019-09-28
116,Make It Right,BTS Featuring Lauv,2019-11-02,76,0,76,1,1,Make It RightBTS Featuring Lauv,https://www.billboard.com/charts/hot-100/2019-11-02
117,Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,2019-07-27,25,41,25,8,1,Cross MeEd Sheeran Featuring Chance The Rapper & PnB Rock,https://www.billboard.com/charts/hot-100/2019-07-27
118,Be Careful,Cardi B,2018-04-14,16,0,16,1,1,Be CarefulCardi B,https://www.billboard.com/charts/hot-100/2018-04-14
119,Ball For Me,Post Malone Featuring Nicki Minaj,2018-05-12,16,0,16,1,1,Ball For MePost Malone Featuring Nicki Minaj,https://www.billboard.com/charts/hot-100/2018-05-12
120,BAD!,XXXTENTACION,2018-11-24,16,0,16,1,1,BAD!XXXTENTACION,https://www.billboard.com/charts/hot-100/2018-11-24
121,Press,Cardi B,2019-06-15,16,0,16,1,1,PressCardi B,https://www.billboard.com/charts/hot-100/2019-06-15
122,Panini,Lil Nas X,2019-07-06,16,0,16,1,1,PaniniLil Nas X,https://www.billboard.com/charts/hot-100/2019-07-06
123,Sad!,XXXTENTACION,2018-03-17,17,0,17,1,1,Sad!XXXTENTACION,https://www.billboard.com/charts/hot-100/2018-03-17
124,Stay,Post Malone,2018-05-12,17,0,17,1,1,StayPost Malone,https://www.billboard.com/charts/hot-100/2018-05-12
125,Survival,Drake,2018-07-14,17,0,17,1,1,SurvivalDrake,https://www.billboard.com/charts/hot-100/2018-07-14
126,Can't Be Broken,Lil Wayne,2018-10-13,17,0,17,1,1,Can't Be BrokenLil Wayne,https://www.billboard.com/charts/hot-100/2018-10-13
127,Closed On Sunday,Kanye West,2019-11-09,17,0,17,1,1,Closed On SundayKanye West,https://www.billboard.com/charts/hot-100/2019-11-09
128,Can't Take A Joke,Drake,2018-07-14,18,0,18,1,1,Can't Take A JokeDrake,https://www.billboard.com/charts/hot-100/2018-07-14
129,Barbie Dreams,Nicki Minaj,2018-08-25,18,0,18,1,1,Barbie DreamsNicki Minaj,https://www.billboard.com/charts/hot-100/2018-08-25
130,Saint-Tropez,Post Malone,2019-09-21,18,0,18,1,1,Saint-TropezPost Malone,https://www.billboard.com/charts/hot-100/2019-09-21
131,BOP,DaBaby,2019-10-12,19,0,19,1,1,BOPDaBaby,https://www.billboard.com/charts/hot-100/2019-10-12
132,Selah,Kanye West,2019-11-09,19,0,19,1,1,SelahKanye West,https://www.billboard.com/charts/hot-100/2019-11-09
133,1985 (Intro To The Fall Off),J. Cole,2018-05-05,20,0,20,1,1,1985 (Intro To The Fall Off)J. Cole,https://www.billboard.com/charts/hot-100/2018-05-05
134,Same Bitches,Post Malone Featuring G-Eazy & YG,2018-05-12,20,0,20,1,1,Same BitchesPost Malone Featuring G-Eazy & YG,https://www.billboard.com/charts/hot-100/2018-05-12
135,Talk Up,Drake Featuring JAY-Z,2018-07-14,20,0,20,1,1,Talk UpDrake Featuring JAY-Z,https://www.billboard.com/charts/hot-100/2018-07-14
136,Die For Me,Post Malone Featuring Future & Halsey,2019-09-21,20,0,20,1,1,Die For MePost Malone Featuring Future & Halsey,https://www.billboard.com/charts/hot-100/2019-09-21
137,8 Out Of 10,Drake,2018-07-14,21,0,21,1,1,8 Out Of 10Drake,https://www.billboard.com/charts/hot-100/2018-07-14
138,44 More,Logic,2018-03-10,22,0,22,1,1,44 MoreLogic,https://www.billboard.com/charts/hot-100/2018-03-10
139,Breathin,Ariana Grande,2018-09-01,22,0,22,1,1,BreathinAriana Grande,https://www.billboard.com/charts/hot-100/2018-09-01
140,Bloodline,Ariana Grande,2019-02-23,22,0,22,1,1,BloodlineAriana Grande,https://www.billboard.com/charts/hot-100/2019-02-23
141,Rodeo,Lil Nas X & Cardi B,2019-07-06,22,0,22,1,1,RodeoLil Nas X & Cardi B,https://www.billboard.com/charts/hot-100/2019-07-06
142,Over Now,Post Malone,2018-05-12,24,0,24,1,1,Over NowPost Malone,https://www.billboard.com/charts/hot-100/2018-05-12
143,Carousel,Travis Scott,2018-08-18,24,0,24,1,1,CarouselTravis Scott,https://www.billboard.com/charts/hot-100/2018-08-18
144,STOOPID,6ix9ine Featuring Bobby Shmurda,2018-10-20,25,0,25,1,1,STOOPID6ix9ine Featuring Bobby Shmurda,https://www.billboard.com/charts/hot-100/2018-10-20
