,song,performer,date,chart_position,previous_position,peak,weeks_on_chart,instance,songID,url
7583,24/7,Meek Mill Featuring Ella Mai,2019-06-08,75,97,75,8,2,24/7Meek Mill Featuring Ella Mai,https://www.billboard.com/charts/hot-100/2019-06-08
7584,Calma,Pedro Capo X Farruko,2019-05-18,77,73,71,8,2,CalmaPedro Capo X Farruko,https://www.billboard.com/charts/hot-100/2019-05-18
7585,Tell Me You Love Me,Demi Lovato,2018-02-03,79,72,53,8,2,Tell Me You Love MeDemi Lovato,https://www.billboard.com/charts/hot-100/2018-02-03
7586,Bad Liar,Imagine Dragons,2019-04-27,80,74,56,8,2,Bad LiarImagine Dragons,https://www.billboard.com/charts/hot-100/2019-04-27
7587,Saturday Nights,Khalid & Kane Brown,2019-04-13,81,73,70,8,2,Saturday NightsKhalid & Kane Brown,https://www.billboard.com/charts/hot-100/2019-04-13
7588,Praise The Lord (Da Shine),A$AP Rocky Featuring Skepta,2018-08-11,84,96,84,8,2,Praise The Lord (Da Shine)A$AP Rocky Featuring Skepta,https://www.billboard.com/charts/hot-100/2018-08-11
7589,Backin' It Up,Pardison Fontaine Featuring Cardi B,2018-12-15,86,76,65,8,2,Backin' It UpPardison Fontaine Featuring Cardi B,https://www.billboard.com/charts/hot-100/2018-12-15
7590,Rich,Maren Morris,2018-12-08,87,62,62,8,2,RichMaren Morris,https://www.billboard.com/charts/hot-100/2018-12-08
7591,One That Got Away,Michael Ray,2019-04-27,87,88,67,8,2,One That Got AwayMichael Ray,https://www.billboard.com/charts/hot-100/2019-04-27
7592,Beautiful Trauma,P!nk,2018-02-24,88,78,78,8,2,Beautiful TraumaP!nk,https://www.billboard.com/charts/hot-100/2018-02-24
7593,Desperate Man,Eric Church,2018-09-29,89,90,85,8,2,Desperate ManEric Church,https://www.billboard.com/charts/hot-100/2018-09-29
7594,Tap,NAV Featuring Meek Mill,2019-08-10,90,87,87,8,2,TapNAV Featuring Meek Mill,https://www.billboard.com/charts/hot-100/2019-08-10
7595,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-05-12,93,90,74,8,2,SativaJhene Aiko Featuring Swae Lee Or Rae Sremmurd,https://www.billboard.com/charts/hot-100/2018-05-12
7596,Corazon,Maluma X Nego do Borel,2018-03-10,93,94,93,8,2,CorazonMaluma X Nego do Borel,https://www.billboard.com/charts/hot-100/2018-03-10
7597,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-08-11,25,28,25,9,2,"Big BankYG Featuring 2 Chainz, Big Sean & Nicki Minaj",https://www.billboard.com/charts/hot-100/2018-08-11
7598,Pure Water,Mustard & Migos,2019-04-06,31,34,31,9,2,Pure WaterMustard & Migos,https://www.billboard.com/charts/hot-100/2019-04-06
7599,Playing Games,Summer Walker,2019-11-09,34,26,16,9,2,Playing GamesSummer Walker,https://www.billboard.com/charts/hot-100/2019-11-09
7600,Africa,Weezer,2018-09-22,51,58,51,9,2,AfricaWeezer,https://www.billboard.com/charts/hot-100/2018-09-22
7601,Ring,Cardi B Featuring Kehlani,2018-09-29,53,56,53,9,2,RingCardi B Featuring Kehlani,https://www.billboard.com/charts/hot-100/2018-09-29
7602,Only Human,Jonas Brothers,2019-08-24,53,63,53,9,2,Only HumanJonas Brothers,https://www.billboard.com/charts/hot-100/2019-08-24
7603,Clout,Offset Featuring Cardi B,2019-06-15,55,57,39,9,2,CloutOffset Featuring Cardi B,https://www.billboard.com/charts/hot-100/2019-06-15
7604,Tequila,Dan + Shay,2018-05-19,55,67,55,9,2,TequilaDan + Shay,https://www.billboard.com/charts/hot-100/2018-05-19
7605,Pure Cocaine,Lil Baby,2019-02-16,57,56,56,9,2,Pure CocaineLil Baby,https://www.billboard.com/charts/hot-100/2019-02-16
7606,Saturday Nights,Khalid & Kane Brown,2019-04-20,57,81,57,9,2,Saturday NightsKhalid & Kane Brown,https://www.billboard.com/charts/hot-100/2019-04-20
7607,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019-04-13,58,49,48,9,2,Con CalmaDaddy Yankee & Katy Perry Featuring Snow,https://www.billboard.com/charts/hot-100/2019-04-13
7608,Solo,Clean Bandit Featuring Demi Lovato,2018-09-08,61,59,58,9,2,SoloClean Bandit Featuring Demi Lovato,https://www.billboard.com/charts/hot-100/2018-09-08
7609,Burn Out,Midland,2019-03-16,63,69,63,9,2,Burn OutMidland,https://www.billboard.com/charts/hot-100/2019-03-16
7610,Backin' It Up,Pardison Fontaine Featuring Cardi B,2018-12-22,66,86,65,9,2,Backin' It UpPardison Fontaine Featuring Cardi B,https://www.billboard.com/charts/hot-100/2018-12-22
7611,Break Up In The End,Cole Swindell,2018-09-15,70,62,49,9,2,Break Up In The EndCole Swindell,https://www.billboard.com/charts/hot-100/2018-09-15
7612,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-10-27,73,75,73,9,2,DangerousMeek Mill Featuring Jeremih & PnB Rock,https://www.billboard.com/charts/hot-100/2018-10-27
7613,Alone,Halsey Featuring Big Sean & Stefflon Don,2018-06-23,74,73,70,9,2,AloneHalsey Featuring Big Sean & Stefflon Don,https://www.billboard.com/charts/hot-100/2018-06-23
7614,Don't Go Breaking My Heart,Backstreet Boys,2018-09-01,76,73,63,9,2,Don't Go Breaking My HeartBackstreet Boys,https://www.billboard.com/charts/hot-100/2018-09-01
7615,Calma,Pedro Capo X Farruko,2019-05-25,76,77,71,9,2,CalmaPedro Capo X Farruko,https://www.billboard.com/charts/hot-100/2019-05-25
7616,24/7,Meek Mill Featuring Ella Mai,2019-06-15,76,75,75,9,2,24/7Meek Mill Featuring Ella Mai,https://www.billboard.com/charts/hot-100/2019-06-15
7617,Tell Me You Love Me,Demi Lovato,2018-02-10,78,79,53,9,2,Tell Me You Love MeDemi Lovato,https://www.billboard.com/charts/hot-100/2018-02-10
7618,Beautiful Trauma,P!nk,2018-03-03,81,88,78,9,2,Beautiful TraumaP!nk,https://www.billboard.com/charts/hot-100/2018-03-03
7619,Bad Liar,Imagine Dragons,2019-05-04,85,80,56,9,2,Bad LiarImagine Dragons,https://www.billboard.com/charts/hot-100/2019-05-04
7620,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-05-19,91,93,74,9,2,SativaJhene Aiko Featuring Swae Lee Or Rae Sremmurd,https://www.billboard.com/charts/hot-100/2018-05-19
7621,Tap,NAV Featuring Meek Mill,2019-08-17,92,90,87,9,2,TapNAV Featuring Meek Mill,https://www.billboard.com/charts/hot-100/2019-08-17
7622,Sin Pijama,Becky G + Natti Natasha,2018-08-18,93,70,70,9,2,Sin PijamaBecky G + Natti Natasha,https://www.billboard.com/charts/hot-100/2018-08-18
7623,Desperate Man,Eric Church,2018-10-06,94,89,85,9,2,Desperate ManEric Church,https://www.billboard.com/charts/hot-100/2018-10-06
7624,Corazon,Maluma X Nego do Borel,2018-03-17,97,93,93,9,2,CorazonMaluma X Nego do Borel,https://www.billboard.com/charts/hot-100/2018-03-17
7625,One That Got Away,Michael Ray,2019-05-04,99,87,67,9,2,One That Got AwayMichael Ray,https://www.billboard.com/charts/hot-100/2019-05-04
7626,Always Remember Us This Way,Lady Gaga,2019-03-23,100,64,47,9,2,Always Remember Us This WayLady Gaga,https://www.billboard.com/charts/hot-100/2019-03-23
7627,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-08-18,16,25,16,10,2,"Big BankYG Featuring 2 Chainz, Big Sean & Nicki Minaj",https://www.billboard.com/charts/hot-100/2018-08-18
7628,Changes,XXXTENTACION,2018-06-30,18,0,18,10,2,ChangesXXXTENTACION,https://www.billboard.com/charts/hot-100/2018-06-30
7629,Playing Games,Summer Walker,2019-11-16,29,34,16,10,2,Playing GamesSummer Walker,https://www.billboard.com/charts/hot-100/2019-11-16
7630,Pure Water,Mustard & Migos,2019-04-13,33,31,31,10,2,Pure WaterMustard & Migos,https://www.billboard.com/charts/hot-100/2019-04-13
7631,Only Human,Jonas Brothers,2019-08-31,46,53,46,10,2,Only HumanJonas Brothers,https://www.billboard.com/charts/hot-100/2019-08-31
7632,Tequila,Dan + Shay,2018-05-26,48,55,48,10,2,TequilaDan + Shay,https://www.billboard.com/charts/hot-100/2018-05-26
7633,Ring,Cardi B Featuring Kehlani,2018-10-06,49,53,49,10,2,RingCardi B Featuring Kehlani,https://www.billboard.com/charts/hot-100/2018-10-06
7634,Clout,Offset Featuring Cardi B,2019-06-22,53,55,39,10,2,CloutOffset Featuring Cardi B,https://www.billboard.com/charts/hot-100/2019-06-22
7635,Africa,Weezer,2018-09-29,55,51,51,10,2,AfricaWeezer,https://www.billboard.com/charts/hot-100/2018-09-29
7636,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019-04-20,64,58,48,10,2,Con CalmaDaddy Yankee & Katy Perry Featuring Snow,https://www.billboard.com/charts/hot-100/2019-04-20
7637,Backin' It Up,Pardison Fontaine Featuring Cardi B,2018-12-29,64,66,64,10,2,Backin' It UpPardison Fontaine Featuring Cardi B,https://www.billboard.com/charts/hot-100/2018-12-29
7638,Pure Cocaine,Lil Baby,2019-02-23,67,57,56,10,2,Pure CocaineLil Baby,https://www.billboard.com/charts/hot-100/2019-02-23
7639,24/7,Meek Mill Featuring Ella Mai,2019-06-22,67,76,67,10,2,24/7Meek Mill Featuring Ella Mai,https://www.billboard.com/charts/hot-100/2019-06-22
7640,Break Up In The End,Cole Swindell,2018-09-22,68,70,49,10,2,Break Up In The EndCole Swindell,https://www.billboard.com/charts/hot-100/2018-09-22
7641,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-11-03,69,73,69,10,2,DangerousMeek Mill Featuring Jeremih & PnB Rock,https://www.billboard.com/charts/hot-100/2018-11-03
7642,Alone,Halsey Featuring Big Sean & Stefflon Don,2018-06-30,75,74,70,10,2,AloneHalsey Featuring Big Sean & Stefflon Don,https://www.billboard.com/charts/hot-100/2018-06-30
7643,Solo,Clean Bandit Featuring Demi Lovato,2018-09-15,76,61,58,10,2,SoloClean Bandit Featuring Demi Lovato,https://www.billboard.com/charts/hot-100/2018-09-15
7644,Tell Me You Love Me,Demi Lovato,2018-02-17,79,78,53,10,2,Tell Me You Love MeDemi Lovato,https://www.billboard.com/charts/hot-100/2018-02-17
7645,Beautiful Trauma,P!nk,2018-03-10,83,81,78,10,2,Beautiful TraumaP!nk,https://www.billboard.com/charts/hot-100/2018-03-10
7646,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-05-26,85,91,74,10,2,SativaJhene Aiko Featuring Swae Lee Or Rae Sremmurd,https://www.billboard.com/charts/hot-100/2018-05-26
7647,Saturday Nights,Khalid & Kane Brown,2019-04-27,86,57,57,10,2,Saturday NightsKhalid & Kane Brown,https://www.billboard.com/charts/hot-100/2019-04-27
7648,Sin Pijama,Becky G + Natti Natasha,2018-08-25,93,93,70,10,2,Sin PijamaBecky G + Natti Natasha,https://www.billboard.com/charts/hot-100/2018-08-25
7649,Don't Go Breaking My Heart,Backstreet Boys,2018-09-08,94,76,63,10,2,Don't Go Breaking My HeartBackstreet Boys,https://www.billboard.com/charts/hot-100/2018-09-08
7650,Calma,Pedro Capo X Farruko,2019-06-01,96,76,71,10,2,CalmaPedro Capo X Farruko,https://www.billboard.com/charts/hot-100/2019-06-01
7651,Tap,NAV Featuring Meek Mill,2019-08-24,97,92,87,10,2,TapNAV Featuring Meek Mill,https://www.billboard.com/charts/hot-100/2019-08-24
7652,Changes,XXXTENTACION,2018-07-07,18,18,18,11,2,ChangesXXXTENTACION,https://www.billboard.com/charts/hot-100/2018-07-07
7653,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-08-25,23,16,16,11,2,"Big BankYG Featuring 2 Chainz, Big Sean & Nicki Minaj",https://www.billboard.com/charts/hot-100/2018-08-25
7654,Playing Games,Summer Walker,2019-11-23,33,29,16,11,2,Playing GamesSummer Walker,https://www.billboard.com/charts/hot-100/2019-11-23
7655,Pure Water,Mustard & Migos,2019-04-20,33,33,31,11,2,Pure WaterMustard & Migos,https://www.billboard.com/charts/hot-100/2019-04-20
7656,Only Human,Jonas Brothers,2019-09-07,44,46,44,11,2,Only HumanJonas Brothers,https://www.billboard.com/charts/hot-100/2019-09-07
7657,Tequila,Dan + Shay,2018-06-02,44,48,44,11,2,TequilaDan + Shay,https://www.billboard.com/charts/hot-100/2018-06-02
7658,Africa,Weezer,2018-10-06,55,55,51,11,2,AfricaWeezer,https://www.billboard.com/charts/hot-100/2018-10-06
7659,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019-04-27,56,64,48,11,2,Con CalmaDaddy Yankee & Katy Perry Featuring Snow,https://www.billboard.com/charts/hot-100/2019-04-27
7660,Clout,Offset Featuring Cardi B,2019-06-29,58,53,39,11,2,CloutOffset Featuring Cardi B,https://www.billboard.com/charts/hot-100/2019-06-29
7661,Ring,Cardi B Featuring Kehlani,2018-10-13,61,49,49,11,2,RingCardi B Featuring Kehlani,https://www.billboard.com/charts/hot-100/2018-10-13
7662,24/7,Meek Mill Featuring Ella Mai,2019-06-29,63,67,63,11,2,24/7Meek Mill Featuring Ella Mai,https://www.billboard.com/charts/hot-100/2019-06-29
7663,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-11-10,64,69,64,11,2,DangerousMeek Mill Featuring Jeremih & PnB Rock,https://www.billboard.com/charts/hot-100/2018-11-10
7664,Break Up In The End,Cole Swindell,2018-09-29,65,68,49,11,2,Break Up In The EndCole Swindell,https://www.billboard.com/charts/hot-100/2018-09-29
7665,Backin' It Up,Pardison Fontaine Featuring Cardi B,2019-01-05,69,64,64,11,2,Backin' It UpPardison Fontaine Featuring Cardi B,https://www.billboard.com/charts/hot-100/2019-01-05
7666,Alone,Halsey Featuring Big Sean & Stefflon Don,2018-07-07,69,75,69,11,2,AloneHalsey Featuring Big Sean & Stefflon Don,https://www.billboard.com/charts/hot-100/2018-07-07
7667,Pure Cocaine,Lil Baby,2019-03-02,76,67,56,11,2,Pure CocaineLil Baby,https://www.billboard.com/charts/hot-100/2019-03-02
7668,Tell Me You Love Me,Demi Lovato,2018-02-24,80,79,53,11,2,Tell Me You Love MeDemi Lovato,https://www.billboard.com/charts/hot-100/2018-02-24
7669,Solo,Clean Bandit Featuring Demi Lovato,2018-09-22,80,76,58,11,2,SoloClean Bandit Featuring Demi Lovato,https://www.billboard.com/charts/hot-100/2018-09-22
7670,Calma,Pedro Capo X Farruko,2019-06-08,80,96,71,11,2,CalmaPedro Capo X Farruko,https://www.billboard.com/charts/hot-100/2019-06-08
7671,Beautiful Trauma,P!nk,2018-03-17,81,83,78,11,2,Beautiful TraumaP!nk,https://www.billboard.com/charts/hot-100/2018-03-17
7672,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-06-02,90,85,74,11,2,SativaJhene Aiko Featuring Swae Lee Or Rae Sremmurd,https://www.billboard.com/charts/hot-100/2018-06-02
7673,Saturday Nights,Khalid & Kane Brown,2019-05-04,91,86,57,11,2,Saturday NightsKhalid & Kane Brown,https://www.billboard.com/charts/hot-100/2019-05-04
7674,OTW,"Khalid, Ty Dolla $ign & 6LACK",2018-07-21,97,0,97,11,2,"OTWKhalid, Ty Dolla $ign & 6LACK",https://www.billboard.com/charts/hot-100/2018-07-21
7675,BAD!,XXXTENTACION,2019-02-09,97,0,97,11,2,BAD!XXXTENTACION,https://www.billboard.com/charts/hot-100/2019-02-09
7676,Sin Pijama,Becky G + Natti Natasha,2018-09-01,98,93,70,11,2,Sin PijamaBecky G + Natti Natasha,https://www.billboard.com/charts/hot-100/2018-09-01
7677,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,2019-06-29,99,0,99,11,2,Racks In The MiddleNipsey Hussle Featuring Roddy Ricch & Hit-Boy,https://www.billboard.com/charts/hot-100/2019-06-29
7678,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-09-01,24,23,16,12,2,"Big BankYG Featuring 2 Chainz, Big Sean & Nicki Minaj",https://www.billboard.com/charts/hot-100/2018-09-01
7679,Pure Water,Mustard & Migos,2019-04-27,33,33,31,12,2,Pure WaterMustard & Migos,https://www.billboard.com/charts/hot-100/2019-04-27
7680,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019-05-04,34,56,34,12,2,Con CalmaDaddy Yankee & Katy Perry Featuring Snow,https://www.billboard.com/charts/hot-100/2019-05-04
7681,Only Human,Jonas Brothers,2019-09-14,35,44,35,12,2,Only HumanJonas Brothers,https://www.billboard.com/charts/hot-100/2019-09-14
7682,Playing Games,Summer Walker,2019-11-30,36,33,16,12,2,Playing GamesSummer Walker,https://www.billboard.com/charts/hot-100/2019-11-30
7683,Tequila,Dan + Shay,2018-06-09,37,44,37,12,2,TequilaDan + Shay,https://www.billboard.com/charts/hot-100/2018-06-09
7684,Backin' It Up,Pardison Fontaine Featuring Cardi B,2019-01-12,44,69,44,12,2,Backin' It UpPardison Fontaine Featuring Cardi B,https://www.billboard.com/charts/hot-100/2019-01-12
7685,Ring,Cardi B Featuring Kehlani,2018-10-20,52,61,49,12,2,RingCardi B Featuring Kehlani,https://www.billboard.com/charts/hot-100/2018-10-20
7686,Changes,XXXTENTACION,2018-07-14,55,18,18,12,2,ChangesXXXTENTACION,https://www.billboard.com/charts/hot-100/2018-07-14
7687,Clout,Offset Featuring Cardi B,2019-07-06,56,58,39,12,2,CloutOffset Featuring Cardi B,https://www.billboard.com/charts/hot-100/2019-07-06
7688,Break Up In The End,Cole Swindell,2018-10-06,60,65,49,12,2,Break Up In The EndCole Swindell,https://www.billboard.com/charts/hot-100/2018-10-06
7689,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-11-17,66,64,64,12,2,DangerousMeek Mill Featuring Jeremih & PnB Rock,https://www.billboard.com/charts/hot-100/2018-11-17
7690,Africa,Weezer,2018-10-13,67,55,51,12,2,AfricaWeezer,https://www.billboard.com/charts/hot-100/2018-10-13
7691,24/7,Meek Mill Featuring Ella Mai,2019-07-06,69,63,63,12,2,24/7Meek Mill Featuring Ella Mai,https://www.billboard.com/charts/hot-100/2019-07-06
7692,Tell Me You Love Me,Demi Lovato,2018-03-03,71,80,53,12,2,Tell Me You Love MeDemi Lovato,https://www.billboard.com/charts/hot-100/2018-03-03
7693,Alone,Halsey Featuring Big Sean & Stefflon Don,2018-07-14,71,69,69,12,2,AloneHalsey Featuring Big Sean & Stefflon Don,https://www.billboard.com/charts/hot-100/2018-07-14
7694,OTW,"Khalid, Ty Dolla $ign & 6LACK",2018-07-28,75,97,75,12,2,"OTWKhalid, Ty Dolla $ign & 6LACK",https://www.billboard.com/charts/hot-100/2018-07-28
7695,Close Friends,Lil Baby,2019-01-12,81,0,81,12,2,Close FriendsLil Baby,https://www.billboard.com/charts/hot-100/2019-01-12
7696,Calma,Pedro Capo X Farruko,2019-06-15,83,80,71,12,2,CalmaPedro Capo X Farruko,https://www.billboard.com/charts/hot-100/2019-06-15
7697,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,2018-06-09,85,90,74,12,2,SativaJhene Aiko Featuring Swae Lee Or Rae Sremmurd,https://www.billboard.com/charts/hot-100/2018-06-09
7698,The Light Is Coming,Ariana Grande Featuring Nicki Minaj,2018-07-07,95,0,95,1,1,The Light Is ComingAriana Grande Featuring Nicki Minaj,https://www.billboard.com/charts/hot-100/2018-07-07
7699,The Light Is Coming,Ariana Grande Featuring Nicki Minaj,2018-09-01,89,0,89,2,2,The Light Is ComingAriana Grande Featuring Nicki Minaj,https://www.billboard.com/charts/hot-100/2018-09-01
7700,The London,"Young Thug, J. Cole & Travis Scott",2019-06-08,12,0,12,1,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-06-08
7701,The London,"Young Thug, J. Cole & Travis Scott",2019-06-15,17,12,12,2,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-06-15
7702,The London,"Young Thug, J. Cole & Travis Scott",2019-06-22,24,17,12,3,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-06-22
7703,The London,"Young Thug, J. Cole & Travis Scott",2019-06-29,26,24,12,4,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-06-29
7704,The London,"Young Thug, J. Cole & Travis Scott",2019-07-06,30,26,12,5,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-07-06
7705,The London,"Young Thug, J. Cole & Travis Scott",2019-07-13,31,30,12,6,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-07-13
7706,The London,"Young Thug, J. Cole & Travis Scott",2019-07-20,29,31,12,7,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-07-20
7707,The London,"Young Thug, J. Cole & Travis Scott",2019-07-27,28,29,12,8,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-07-27
7708,The London,"Young Thug, J. Cole & Travis Scott",2019-08-03,23,28,12,9,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-08-03
7709,The London,"Young Thug, J. Cole & Travis Scott",2019-08-10,28,23,12,10,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-08-10
7710,The London,"Young Thug, J. Cole & Travis Scott",2019-08-17,27,28,12,11,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-08-17
7711,The London,"Young Thug, J. Cole & Travis Scott",2019-08-24,27,27,12,12,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-08-24
7712,The London,"Young Thug, J. Cole & Travis Scott",2019-08-31,21,27,12,13,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-08-31
7713,The London,"Young Thug, J. Cole & Travis Scott",2019-09-07,25,21,12,14,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-09-07
7714,The London,"Young Thug, J. Cole & Travis Scott",2019-09-14,24,25,12,15,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-09-14
7715,The London,"Young Thug, J. Cole & Travis Scott",2019-09-21,36,24,12,16,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-09-21
7716,The London,"Young Thug, J. Cole & Travis Scott",2019-09-28,36,36,12,17,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-09-28
7717,The London,"Young Thug, J. Cole & Travis Scott",2019-10-05,40,36,12,18,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-10-05
7718,The London,"Young Thug, J. Cole & Travis Scott",2019-10-12,50,40,12,19,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-10-12
7719,The London,"Young Thug, J. Cole & Travis Scott",2019-10-19,57,50,12,20,1,"The LondonYoung Thug, J. Cole & Travis Scott",https://www.billboard.com/charts/hot-100/2019-10-19
7720,The Long Way,Brett Eldredge,2018-02-17,93,0,93,1,1,The Long WayBrett Eldredge,https://www.billboard.com/charts/hot-100/2018-02-17
7721,The Long Way,Brett Eldredge,2018-02-24,94,93,93,2,1,The Long WayBrett Eldredge,https://www.billboard.com/charts/hot-100/2018-02-24
7722,The Long Way,Brett Eldredge,2018-03-03,80,94,80,3,1,The Long WayBrett Eldredge,https://www.billboard.com/charts/hot-100/2018-03-03
7723,The Long Way,Brett Eldredge,2018-03-10,75,80,75,4,1,The Long WayBrett Eldredge,https://www.billboard.com/charts/hot-100/2018-03-10
7724,The Long Way,Brett Eldredge,2018-03-17,77,75,75,5,1,The Long WayBrett Eldredge,https://www.billboard.com/charts/hot-100/2018-03-17
7725,The Long Way,Brett Eldredge,2018-03-24,77,77,75,6,1,The Long WayBrett Eldredge,https://www.billboard.com/charts/hot-100/2018-03-24
7726,The Long Way,Brett Eldredge,2018-03-31,74,77,74,7,1,The Long WayBrett Eldredge,https://www.billboard.com/charts/hot-100/2018-03-31
7727,The Long Way,Brett Eldredge,2018-04-07,68,74,68,8,1,The Long WayBrett Eldredge,https://www.billboard.com/charts/hot-100/2018-04-07
7728,The Long Way,Brett Eldredge,2018-04-14,65,68,65,9,1,The Long WayBrett Eldredge,https://www.billboard.com/charts/hot-100/2018-04-14
7729,The Long Way,Brett Eldredge,2018-04-21,71,65,65,10,1,The Long WayBrett Eldredge,https://www.billboard.com/charts/hot-100/2018-04-21
7730,The Long Way,Brett Eldredge,2018-04-28,65,71,65,11,1,The Long WayBrett Eldredge,https://www.billboard.com/charts/hot-100/2018-04-28
7731,The Long Way,Brett Eldredge,2018-05-05,85,65,65,12,1,The Long WayBrett Eldredge,https://www.billboard.com/charts/hot-100/2018-05-05
7732,The Man,Taylor Swift,2019-09-07,23,0,23,1,1,The ManTaylor Swift,https://www.billboard.com/charts/hot-100/2019-09-07
7733,The Man,Taylor Swift,2019-09-14,61,23,23,2,1,The ManTaylor Swift,https://www.billboard.com/charts/hot-100/2019-09-14
7734,The Man,Taylor Swift,2019-09-21,96,61,23,3,1,The ManTaylor Swift,https://www.billboard.com/charts/hot-100/2019-09-21
7735,The Middle,"Zedd, Maren Morris & Grey",2018-02-10,23,0,23,1,1,"The MiddleZedd, Maren Morris & Grey",https://www.billboard.com/charts/hot-100/2018-02-10
7736,The Middle,"Zedd, Maren Morris & Grey",2018-02-17,22,23,22,2,1,"The MiddleZedd, Maren Morris & Grey",https://www.billboard.com/charts/hot-100/2018-02-17
7737,The Middle,"Zedd, Maren Morris & Grey",2018-02-24,17,22,17,3,1,"The MiddleZedd, Maren Morris & Grey",https://www.billboard.com/charts/hot-100/2018-02-24
7738,The Middle,"Zedd, Maren Morris & Grey",2018-03-03,13,17,13,4,1,"The MiddleZedd, Maren Morris & Grey",https://www.billboard.com/charts/hot-100/2018-03-03
7739,The Middle,"Zedd, Maren Morris & Grey",2018-03-10,11,13,11,5,1,"The MiddleZedd, Maren Morris & Grey",https://www.billboard.com/charts/hot-100/2018-03-10
7740,The Middle,"Zedd, Maren Morris & Grey",2018-03-17,8,11,8,6,1,"The MiddleZedd, Maren Morris & Grey",https://www.billboard.com/charts/hot-100/2018-03-17
7741,The Middle,"Zedd, Maren Morris & Grey",2018-03-24,6,8,6,7,1,"The MiddleZedd, Maren Morris & Grey",https://www.billboard.com/charts/hot-100/2018-03-24
7742,The Middle,"Zedd, Maren Morris & Grey",2018-03-31,6,6,6,8,1,"The MiddleZedd, Maren Morris & Grey",https://www.billboard.com/charts/hot-100/2018-03-31
7743,The Middle,"Zedd, Maren Morris & Grey",2018-04-07,7,6,6,9,1,"The MiddleZedd, Maren Morris & Grey",https://www.billboard.com/charts/hot-100/2018-04-07
7744,The Middle,"Zedd, Maren Morris & Grey",2018-04-14,6,7,6,10,1,"The MiddleZedd, Maren Morris & Grey",https://www.billboard.com/charts/hot-100/2018-04-14
7745,The Middle,"Zedd, Maren Morris & Grey",2018-04-21,6,6,6,11,1,"The MiddleZedd, Maren Morris & Grey",https://www.billboard.com/charts/hot-100/2018-04-21
7746,The Middle,"Zedd, Maren Morris & Grey",2018-04-28,5,6,5,12,1,"The MiddleZedd, Maren Morris & Grey",https://www.billboard.com/charts/hot-100/2018-04-28
7747,The Middle,"Zedd, Maren Morris & Grey",2018-05-05,7,5,5,13,1,"The MiddleZedd, Maren Morris & Grey",https://www.billboard.com/charts/hot-100/2018-05-05
