song_x,performer,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri_x,track_href,analysis_url,duration_ms,time_signature,uri_y,hitTF_x,hitTF_x,chart_position_x,previous_position_x,weeks_on_chart_x,peak_x,chart_position_y,previous_position_y,weeks_on_chart_y,peak_y,chart_position,previous_position,weeks_on_chart,peak
85985,Eastside (with Halsey & Khalid) - Acoustic,benny blanco,0.689,0.491,9.0,-6.042,1.0,0.0317,0.711,0.0,0.172,0.868,90.011,audio_features,5iQ0Va8Dt5Yky4TXuqO5TF,spotify:track:5iQ0Va8Dt5Yky4TXuqO5TF,https://api.spotify.com/v1/tracks/5iQ0Va8Dt5Yky4TXuqO5TF,https://api.spotify.com/v1/audio-analysis/5iQ0Va8Dt5Yky4TXuqO5TF,173005.0,4.0,spotify:track:0d2iYfpKoM0QCKvcLCkBao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85986,EastSide,Savanah,0.873,0.356,6.0,-10.791,1.0,0.0556,0.0475,0.0456,0.0809,0.429,125.04,audio_features,2eZmjMf3xNPXbr6gNkUssv,spotify:track:2eZmjMf3xNPXbr6gNkUssv,https://api.spotify.com/v1/tracks/2eZmjMf3xNPXbr6gNkUssv,https://api.spotify.com/v1/audio-analysis/2eZmjMf3xNPXbr6gNkUssv,217060.0,4.0,spotify:track:2eZmjMf3xNPXbr6gNkUssv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85987,"If I'm Lyin', I'm Flyin'",Kodak Black,0.715,0.617,11.0,-5.558,0.0,0.24,0.0996,3.41e-06,0.186,0.283,176.117,audio_features,7HdNB8nvJOBwHa8hIkzvxp,spotify:track:7HdNB8nvJOBwHa8hIkzvxp,https://api.spotify.com/v1/tracks/7HdNB8nvJOBwHa8hIkzvxp,https://api.spotify.com/v1/audio-analysis/7HdNB8nvJOBwHa8hIkzvxp,130929.0,4.0,spotify:track:7HdNB8nvJOBwHa8hIkzvxp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85988,Trickin Ass Nigga,Moneybagg Yo,0.851,0.575,1.0,-6.036,1.0,0.335,0.0158,0.0,0.11,0.92,163.983,audio_features,46i5sRsLbLWalZ1p2pw8Nf,spotify:track:46i5sRsLbLWalZ1p2pw8Nf,https://api.spotify.com/v1/tracks/46i5sRsLbLWalZ1p2pw8Nf,https://api.spotify.com/v1/audio-analysis/46i5sRsLbLWalZ1p2pw8Nf,125888.0,4.0,spotify:track:46i5sRsLbLWalZ1p2pw8Nf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85989,Spain (feat. Tory Lanez and Jackboy),Kodak Black,0.882,0.644,5.0,-7.721,1.0,0.117,0.0306,0.0,0.0956,0.155,133.031,audio_features,4UM5mQPf6WKvmlSa1UwFrR,spotify:track:4UM5mQPf6WKvmlSa1UwFrR,https://api.spotify.com/v1/tracks/4UM5mQPf6WKvmlSa1UwFrR,https://api.spotify.com/v1/audio-analysis/4UM5mQPf6WKvmlSa1UwFrR,285531.0,4.0,spotify:track:7HdNB8nvJOBwHa8hIkzvxp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85990,Late Night Special,Pretty Ricky,0.725,0.771,9.0,-3.784,0.0,0.0599,0.035,0.0,0.118,0.438,105.015,audio_features,2LFAtOFVRyte76PKgKlbXf,spotify:track:2LFAtOFVRyte76PKgKlbXf,https://api.spotify.com/v1/tracks/2LFAtOFVRyte76PKgKlbXf,https://api.spotify.com/v1/audio-analysis/2LFAtOFVRyte76PKgKlbXf,224240.0,4.0,spotify:track:2LFAtOFVRyte76PKgKlbXf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85991,Hear Me Calling,Juice WRLD,0.699,0.687,7.0,-3.997,0.0,0.106,0.308,3.63e-05,0.121,0.499,88.932,audio_features,13ZyrkCDmRz5xY3seuAWYk,spotify:track:13ZyrkCDmRz5xY3seuAWYk,https://api.spotify.com/v1/tracks/13ZyrkCDmRz5xY3seuAWYk,https://api.spotify.com/v1/audio-analysis/13ZyrkCDmRz5xY3seuAWYk,189977.0,4.0,spotify:track:13ZyrkCDmRz5xY3seuAWYk,1.0,1.0,56.0,0.0,1.0,56.0,56.0,0.0,1.0,56.0,56.0,0.0,1.0,56.0
86055,Talking to the Moon,Bruno Mars,0.523,0.606,1.0,-4.754,0.0,0.0301,0.512,0.0,0.106,0.065,145.837,audio_features,161DnLWsx1i3u1JT05lzqU,spotify:track:161DnLWsx1i3u1JT05lzqU,https://api.spotify.com/v1/tracks/161DnLWsx1i3u1JT05lzqU,https://api.spotify.com/v1/audio-analysis/161DnLWsx1i3u1JT05lzqU,217867.0,4.0,spotify:track:161DnLWsx1i3u1JT05lzqU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86056,Hear Me Calling,Primal Fear,0.517,0.938,7.0,-4.597,1.0,0.0391,1.74e-05,0.0,0.176,0.445,109.973,audio_features,2GS87UtOYpYVuDJeBhYvgJ,spotify:track:2GS87UtOYpYVuDJeBhYvgJ,https://api.spotify.com/v1/tracks/2GS87UtOYpYVuDJeBhYvgJ,https://api.spotify.com/v1/audio-analysis/2GS87UtOYpYVuDJeBhYvgJ,279733.0,4.0,spotify:track:2GS87UtOYpYVuDJeBhYvgJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86057,Hear Me Calling,Ace of Base,0.604,0.973,11.0,-5.485,0.0,0.0433,0.000599,0.147,0.0328,0.694,127.046,audio_features,6gRbRUzqNjYHCi7kZSatSM,spotify:track:6gRbRUzqNjYHCi7kZSatSM,https://api.spotify.com/v1/tracks/6gRbRUzqNjYHCi7kZSatSM,https://api.spotify.com/v1/audio-analysis/6gRbRUzqNjYHCi7kZSatSM,231667.0,4.0,spotify:track:6gRbRUzqNjYHCi7kZSatSM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
